quarter,volume,n_50,cos_50,ttr_50,mtld_50,n_100,cos_100,ttr_100,mtld_100,n_150,cos_150,ttr_150,mtld_150,n_200,cos_200,ttr_200,mtld_200
2010Q3,2199,661,0.013423828867833538,0.7876853252647503,73.11032914427429,413,0.020694416301736428,0.6800726392251816,78.52142644785954,248,0.025929705491327996,0.6122580645161292,76.0298425835044,146,0.029772576069759207,0.5717465753424658,76.69757487478991
2010Q4,1689,715,0.012801474637722098,0.7903216783216784,73.5808318472703,473,0.01880713358300505,0.682198731501057,78.25234992812763,338,0.02388958971700403,0.6193096646942801,78.2464547097473,213,0.029121472284244446,0.5806103286384976,79.27044460322627
2011Q1,1772,773,0.013798943862483832,0.7823285899094438,71.0015687229645,504,0.019984667638160213,0.6733928571428571,75.02867726116457,327,0.025011135636881926,0.6088073394495412,73.74312983581547,235,0.029669938075598493,0.5638723404255319,72.67151451215133
2011Q2,1924,773,0.01410585663793447,0.7779818887451487,69.33822686278829,494,0.021439864248480725,0.6706882591093116,73.17367769403147,314,0.027798123949953738,0.6020806794055202,70.68397588775824,202,0.03309988534349241,0.5563613861386139,69.5554347978814
2011Q3,2000,769,0.013900585661715996,0.7797919375812745,70.00584555648082,532,0.021582762307665287,0.6689473684210526,73.14755679368874,348,0.026981860410325367,0.6029885057471265,70.78824528592199,227,0.03233051596286509,0.5609691629955947,69.88553389488588
2011Q4,2156,796,0.013342442535155355,0.7779396984924624,72.0607619655229,516,0.020518641702041904,0.6651744186046512,71.95995782575925,329,0.02602760979879083,0.5978723404255318,70.6954252488273,209,0.03138777591819768,0.5569856459330144,70.86200159494507
2012Q1,2549,795,0.013704747786232926,0.7833710691823899,72.21616423397407,529,0.020697414943118456,0.6774669187145558,77.21701429985967,346,0.025956523320462613,0.6157418111753372,77.4446515447599,242,0.029077318042199155,0.5747727272727272,77.99383351645177
2012Q2,2815,815,0.014448158691589748,0.7730552147239264,67.58217837719947,554,0.02157083181112494,0.667942238267148,71.84804515108897,382,0.027859657475108532,0.607958115183246,72.53431685611814,257,0.03208520926072328,0.5606031128404669,71.51804364302747
2012Q3,2781,865,0.01483395351994553,0.775121387283237,67.9817670524061,595,0.022175619782040017,0.6656806722689076,71.55888049308581,370,0.02773760654896148,0.6042522522522522,72.81628142730119,223,0.031646318514562594,0.5612107623318384,72.04779274380614
2012Q4,2746,796,0.013871446946958218,0.7798492462311558,70.04526945108229,529,0.02121472118171138,0.6688846880907373,73.32105577169469,316,0.027500779585521978,0.6048101265822785,71.32251081057,176,0.03528968151625671,0.5628124999999999,71.34775533759851
