corpus,cog_load,metric,n_quarters,pre_slope,pre_slope_p,level_jump,level_jump_p,slope_change,slope_change_p,post_slope,mk_tau_full,mk_p_full,mk_tau_post,mk_p_post,theil_slope_full,prepost_diff,prepost_diff_lo,prepost_diff_hi,prepost_p
Biology,high,lc_sem_pairwise_cosine,59,-0.0001271850758190469,0.2601171891895564,-0.010024933462157659,0.021443252195909573,0.001998596422118134,6.900254019056463e-06,0.001871411346299087,-0.05902980713033313,0.5089405836125795,0.5428571428571429,0.00414288160001619,-4.867875629672678e-05,0.00021328175600729415,-0.005461976465390167,0.006181767933362367,0.4763
Astronomy,high,sem_pairwise_cosine,52,-0.000257435733669343,0.024518332060637714,-0.0011847639729750331,0.7056671419909373,0.0006761372473722104,0.07485445159431604,0.00041870151370286746,-0.19607843137254904,0.04020078695877481,0.14285714285714288,0.4950508526248027,-0.0001294889578115013,-0.0031451323167725476,-0.007235748086969772,0.0010248972538733094,0.9326
Astronomy,high,lc_sem_pairwise_cosine,52,-0.0002308078094119877,0.04632043071097954,-0.0016664905160750651,0.6164689393331158,0.0007716369223624874,0.03223973414283966,0.0005408291129504997,-0.16591251885369532,0.08255732963129161,0.1619047619047619,0.43511891093211363,-0.00010322470328739754,-0.002266035104249303,-0.006625651775017138,0.0022368960505558533,0.8433
Chemistry,high,sem_pairwise_cosine,57,-4.490505386794864e-05,0.4251147063112565,0.0012094126775269189,0.5582774520770941,0.0009356082896517743,0.0005430295426956969,0.0008907032357838257,0.22055137844611533,0.015388062100683815,0.48571428571428577,0.01140991603041041,0.00010373341422076094,0.006478876669852779,0.0031276723022530617,0.009955445079362035,0.0001
Chemistry,high,lc_sem_pairwise_cosine,57,-5.48168647086477e-06,0.9395063968307624,0.0010809425918101587,0.6533212228016462,0.0008017378736466883,0.01159942992790737,0.0007962561871758235,0.22431077694235593,0.013723599390505877,0.4285714285714286,0.027495265215751328,0.00013395775905754412,0.006536879642917312,0.0029081627413897228,0.010215918452443023,0.0003
Electrical Engineering,high,sem_pairwise_cosine,67,-0.00025980434562285757,0.22103368784793842,0.0063535337585719255,0.1224471652462548,0.0011278361195142294,1.2123590138030472e-07,0.0008680317738913718,0.33333333333333337,6.655065617246245e-05,0.8666666666666667,1.5433964673382663e-07,0.00015873372641645795,0.005544941016804736,0.0019675709127815783,0.008807703399710856,0.0026
Electrical Engineering,high,lc_sem_pairwise_cosine,67,-3.9407472033446954e-05,0.8005432993127373,0.00392789848977311,0.18021438341413076,0.0008926329755640844,4.5731991347638166e-08,0.0008532255035306374,0.5052012663952963,1.4971534028225098e-09,0.8285714285714286,9.951376518836835e-07,0.00023997472189623724,0.00885617900560104,0.0059414700356004045,0.011655004318269543,0.0
Physics,high,sem_pairwise_cosine,63,-2.1180672343464012e-05,0.7812508419984832,0.002318521855956098,0.13199521988436502,0.00012563171314993208,0.30140189274729223,0.00010445104080646807,0.3323092677931387,0.00011846690533165823,0.20000000000000004,0.3282335876694342,8.394463944108455e-05,0.0025307526691864812,0.0010038411859657967,0.003961424085880387,0.0004
Physics,high,lc_sem_pairwise_cosine,63,-4.376537491424737e-05,0.6332517206827615,0.0038429045696567778,0.03776760057948989,4.1384766564709925e-05,0.7811750414129716,-2.380608349537447e-06,0.2636968766001023,0.0022542763746024193,0.028571428571428574,0.9225700904951897,8.439614601096749e-05,0.0027539886258108673,0.0008878818510673965,0.004496793658315306,0.0017
Software Engineering,high,sem_pairwise_cosine,72,-0.0011430135385640619,0.012430361895753785,0.024640225775561034,0.016318472603026133,0.0012720581298079517,0.007855144818113413,0.00012904459124388982,0.030516431924882625,0.7045562274460854,0.14285714285714288,0.4950508526248027,2.5955024080050076e-05,-0.0076038547041022975,-0.01754507657537831,0.0008013633869696307,0.9584
Software Engineering,high,lc_sem_pairwise_cosine,72,-0.0013607758431655613,0.009956087523546247,0.028606366383310586,0.015662354187989922,0.00127888560557587,0.018856860674617077,-8.189023758969124e-05,-0.05086071987480438,0.5274116291375955,-0.009523809523809525,1.0,-5.188080347166637e-05,-0.011429364731633695,-0.023377800118768107,-0.0014831908333641593,0.9904
English Language & Usage,high,sem_pairwise_cosine,64,-8.66716313857999e-05,0.11433421768176875,0.004861819789030632,0.006739265814959348,0.0002835956714694839,0.10654040640140791,0.000196924040083684,0.17658730158730157,0.03915735222557713,0.12380952380952381,0.5589660721223221,4.306671214182599e-05,0.004073497284971188,0.002310422641046083,0.005873218895319834,0.0
English Language & Usage,high,lc_sem_pairwise_cosine,64,-9.107673481814655e-06,0.9061353634820984,0.005951854929146794,0.013026058191426562,0.0007347792349027306,0.0005226784436165391,0.0007256715614209159,0.38690476190476186,6.212497074001602e-06,0.6190476190476191,0.0008364083878716816,0.00021458098850655514,0.010803864022047777,0.008416863394284305,0.013485759676276438,0.0
