quarter,n,n_sample,n_topics,p_within,overall_cosine,within_cosine,between_cosine,mc_overall_cosine,mc_between_cosine,between_centroid_cosine,eff_topics,topic_entropy,comp_jsd
2010Q3,800,800,50,0.0292991239048811,0.14395503269589688,0.3181388617854237,0.13869755975402578,-0.0012090614218315805,-0.006903953810442911,0.33400106367897014,39.85769841094353,3.685315571294734,0.045628262291548836
2010Q4,800,800,50,0.02473404255319149,0.1417601506306094,0.31360560752296174,0.13740192115392852,-0.0012133802732547476,-0.006074293702897248,0.337433368725695,43.647736565072385,3.77615142676181,0.02099534034420098
2011Q1,800,800,50,0.02435857321652065,0.13293088552845733,0.3144117827702181,0.12839990149937885,-0.0012151912099372456,-0.00628927016906664,0.32054119499723094,43.72138246050748,3.777837283588546,0.018481544893049876
2011Q2,800,800,50,0.025328535669586982,0.14027434797432065,0.3283236473157036,0.1353875593893268,-0.0012147563621447799,-0.006639379961555051,0.33203650384407807,42.642083430860104,3.7528416396128086,0.02386260660814178
2011Q3,800,800,50,0.025710262828535668,0.1324400513760349,0.30731808728133403,0.12782524317830465,-0.0012200759542024817,-0.006302529749736132,0.320482036510289,42.80181296274737,3.756580460633332,0.023477195338304068
2011Q4,800,800,50,0.02483729662077597,0.13583138086719385,0.31661172785580327,0.1312269234922313,-0.0012191995510890635,-0.006460235759711622,0.32148053199435483,42.92140125839597,3.7593705653748515,0.024610975891997258
2012Q1,800,800,50,0.023060075093867333,0.12940994892089727,0.32106839811220045,0.12488596733507944,-0.0012233786152891623,-0.006367400393033639,0.32031939506674023,44.67454091936926,3.79940378498529,0.019684599503871154
2012Q2,800,800,49,0.025497496871088862,0.12420954381611417,0.30422602755002887,0.11949947922827316,-0.0012243057824808756,-0.006611872612872486,0.31593546835585856,42.22351660294762,3.742977331299916,0.03336903969060655
2012Q3,800,800,50,0.023307259073842304,0.13170983761642194,0.31215498750692755,0.1274037936776411,-0.0012251606478136197,-0.006083063911596737,0.32765372505057927,44.40492603649217,3.7933504100518833,0.028219515528393836
2012Q4,800,800,50,0.022581351689612016,0.1316529242660831,0.31948939549228245,0.1273133289204994,-0.0012176910898805673,-0.006082530185785397,0.321158130942662,45.232117925453956,3.8118074080723043,0.016075614857305635
2013Q1,800,800,50,0.021983729662077598,0.12351748925105925,0.3221823536709793,0.1190519248169913,-0.0012212217295444392,-0.0061810069153217405,0.30234809536862,46.24757075874723,3.8340089384437985,0.019646600993965615
2013Q2,800,800,50,0.02275657071339174,0.122735880097237,0.3143680309391717,0.11827343966437853,-0.0012249455024322215,-0.006272454190019137,0.31006335375731303,45.16937241807548,3.8104192557926075,0.01698657738887276
2013Q3,800,800,50,0.023667083854818523,0.12566326125001745,0.30553305757907334,0.12130307479898944,-0.0012181089872072446,-0.006034593163722426,0.3204044472133033,44.91484705276812,3.80476840941584,0.01714682438923754
2013Q4,800,800,50,0.023882978723404256,0.12477126471329122,0.304575311688614,0.12037193949439745,-0.001221242506285807,-0.00615902593616974,0.30826849001206985,43.81894031841589,3.7800661512737275,0.018690653301150488
