quarter,n,overall_cosine,within_topic_cosine,overall_cosine_lo,overall_cosine_hi,within_topic_cosine_lo,within_topic_cosine_hi
2010Q3,281,0.14739274386090806,0.3947266888398028,0.13903648761692122,0.15623459801029463,0.3788087975421262,0.4124167614439162
2010Q4,313,0.14531775705284405,0.3752721895271249,0.13725056153354787,0.1530395670811669,0.35734578319557564,0.3938313841332538
2011Q1,351,0.13331691785318706,0.38754062711777143,0.12546425103402725,0.1414937763604948,0.36817057491789085,0.40690216195098383
2011Q2,362,0.13925869421416645,0.3712157748492068,0.1312942182879595,0.14620500469908093,0.3538659423668967,0.391158239774741
2011Q3,371,0.130503633644147,0.3692574696915809,0.12419926016319376,0.1371064626271177,0.35004959016837023,0.3883193087260619
2011Q4,345,0.13055191875154581,0.37386574395334427,0.12412434615269344,0.13758013137176736,0.3573364584692153,0.3909617778015011
2012Q1,406,0.13246349461543613,0.3516250665875592,0.12579431889158255,0.13946994442961833,0.33509664910541787,0.36862045357842
2012Q2,370,0.12053248297611145,0.37467404694666,0.11420658322856136,0.12700145238127541,0.3574732327528839,0.39114113144096513
2012Q3,367,0.12859004282792436,0.37612908882157026,0.12191519222806314,0.1352686692148316,0.3583922707651356,0.3935953652952681
2012Q4,391,0.12919964054779864,0.36728435379428465,0.12245608992896938,0.13575329793241298,0.3511928147483233,0.38473306794972423
2013Q1,409,0.12388975029279234,0.3679295857802553,0.11838861914371607,0.1301362687404916,0.35268441185081034,0.3848289041659454
2013Q2,426,0.12201790633334131,0.3843512514406079,0.11634026676287539,0.127996012080451,0.36864514395051307,0.4039074655641999
2013Q3,389,0.1284951063921228,0.3849824027105199,0.1217573907819819,0.13477496661929975,0.36955091491084063,0.401449184524931
2013Q4,378,0.12918416252904746,0.3701758124205875,0.12200180498983997,0.13558719931335453,0.3547068119773144,0.38657982565287946
2014Q1,368,0.13097584403197696,0.3861722983047951,0.12492689396795156,0.13743532615084866,0.36854796350739605,0.40292477414308925
2014Q2,384,0.12853115480193225,0.37208743926142357,0.122296044035967,0.1353049738905026,0.35657531764512834,0.38968563474111284
2014Q3,432,0.1279902883435639,0.3632081793792521,0.12174548597512112,0.1343299765744665,0.34546747443777687,0.3791631028272936
2014Q4,386,0.12908004700537112,0.34900704512261366,0.12206533619590262,0.1366964092735001,0.331164148756365,0.3679722220911024
2015Q1,407,0.12477595663378752,0.36775856013802755,0.11900387481793118,0.13092239244229958,0.3507920332917842,0.38413720135815055
2015Q2,353,0.1289236269971355,0.3473155146664177,0.12186621896835381,0.13582825998145726,0.32778881553808914,0.367690084103086
2015Q3,381,0.12320754528059037,0.36245273426914204,0.11731164038129502,0.12957473196179853,0.34423105847852864,0.38059410937687305
2015Q4,366,0.1251640583908013,0.3787173942959437,0.11841785086083752,0.13155205477148554,0.3599758205746042,0.3995867746383728
2016Q1,390,0.12368020024336943,0.3765544007451002,0.11728881038667892,0.13036942082240108,0.35807540252879383,0.3969084144757134
2016Q2,374,0.13174614411206334,0.37198713490765695,0.12501778721430806,0.1381206758593637,0.3530182127340927,0.39331294523260135
2016Q3,418,0.12621444426349926,0.36848287985230865,0.120007105382142,0.13298058592780232,0.35084530811731796,0.3859438968945947
2016Q4,424,0.13284628249124766,0.3655884628986465,0.12662023793239463,0.13905143673757295,0.34846694585298554,0.3825521580671019
2017Q1,400,0.12981589199778582,0.3556906282024789,0.12395277046968586,0.13582400577019418,0.3398392340034545,0.37257359369853815
2017Q2,422,0.12380530344441143,0.36876247146980345,0.11788204962749761,0.12965041105650382,0.35120445676110934,0.386239475449426
2017Q3,397,0.12314580589648895,0.35635482144283387,0.11664663361647763,0.1299640154988911,0.339625185142602,0.3748524803259872
2017Q4,406,0.12481037628766163,0.3795007327196951,0.1180119129602925,0.13091341414076302,0.36215690910997406,0.3986129570934954
2018Q1,358,0.12357689554352537,0.35290360044336494,0.117218203882123,0.13037278849441783,0.33386563805874564,0.3719753187535032
2018Q2,397,0.12184481822713278,0.36705715468892686,0.11548219780516708,0.12808926033236837,0.35034473180947184,0.38440351528153305
2018Q3,389,0.12951831271104178,0.3723489424795424,0.12316172124060322,0.13599166228840287,0.35480437593991004,0.3913782296833085
2018Q4,363,0.12617705160740417,0.3736075971236231,0.12006971328654255,0.13248341097595875,0.35583117501003614,0.3917515186035373
2019Q1,399,0.13367160636057496,0.39460028670152747,0.1275016048661928,0.14014361218396243,0.37748266149881593,0.41366941759063425
2019Q2,367,0.13230293654636588,0.3797115251549183,0.12504866737987375,0.13883080362326314,0.36106961025582107,0.3981522741153089
2019Q3,408,0.1272339513294109,0.36485082260889246,0.12153391305239833,0.1337580135968521,0.3475911056214792,0.3818914858758998
2019Q4,393,0.12487299609486238,0.3779308016922096,0.11895230473468192,0.130602608004528,0.3613531476493113,0.3970183961853028
2020Q1,414,0.12250382323646121,0.39866063468438667,0.11648715492405631,0.12911242514792362,0.3814931763501901,0.41573237700263677
