quarter,n,overall_cosine,within_topic_cosine,overall_cosine_lo,overall_cosine_hi,within_topic_cosine_lo,within_topic_cosine_hi
2010Q3,800,0.14395503269589688,0.36239424798079356,0.13865943702494893,0.14948559406296588,0.35003699308078867,0.3747783105993965
2010Q4,800,0.1417601506306094,0.3639740969952061,0.13633766868490116,0.1475862510381966,0.3521952018810719,0.3766997654173968
2011Q1,800,0.13293088552845733,0.37823961109717796,0.12800686323218582,0.13795931171734868,0.366648834970452,0.3917863077489685
2011Q2,800,0.14027434797432065,0.37874209422523,0.13504919238972132,0.1455614803463385,0.3669949131560835,0.3903446370307959
2011Q3,800,0.1324400513760349,0.36659003399908535,0.127865935174075,0.1374178863425318,0.35638692255191673,0.37729933134132265
2011Q4,800,0.13583138086719385,0.3658670696290035,0.1308320740978457,0.1406051797182333,0.3550702394541653,0.37856344031055983
2012Q1,800,0.12940994892089727,0.35357119518755126,0.12451307360073186,0.13421369852488838,0.342438749088768,0.36583614589968216
2012Q2,800,0.12420954381611417,0.3709217486651597,0.1197717737887005,0.12926684003320268,0.35903637349086087,0.3831335348885359
2012Q3,800,0.13170983761642194,0.3607282484666127,0.12710512389954623,0.13670402039939494,0.3478064636244822,0.37370522400762796
2012Q4,800,0.1316529242660831,0.36541090319373526,0.12682284226842241,0.13670184849439818,0.35262059493990416,0.37845516279964597
2013Q1,800,0.12351748925105925,0.36403277802867784,0.11860505832494551,0.12831626955075884,0.35164758890743375,0.3766929794445514
2013Q2,800,0.122735880097237,0.3636395881445517,0.11822014006771515,0.12734573167952773,0.35265393699591957,0.3757318192578503
2013Q3,800,0.12566326125001745,0.35433582108254574,0.12028596632252025,0.13035870045827536,0.3434037173613241,0.3658806467930444
2013Q4,800,0.12477126471329122,0.35953748558891774,0.11962377099091244,0.12985299648920154,0.3481321009076592,0.3715017981621502
2014Q1,800,0.12756167467256208,0.3753018092387053,0.12281199076130685,0.13240925265381864,0.363560998678924,0.38681886947784233
2014Q2,800,0.12699076257029746,0.3569987247391992,0.12226791248253369,0.13171360124243744,0.34545463914699676,0.3686675888852968
2014Q3,800,0.12928260656101642,0.36378272810082346,0.12442312018527407,0.1344357685651363,0.3511469562840292,0.37617959658867106
2014Q4,800,0.1283035695320243,0.34623536435672386,0.1232096061864338,0.1334761729084513,0.3355762904885375,0.3569467387066786
2015Q1,800,0.12460257840429394,0.36041373914208374,0.11989717272649136,0.1290838382501394,0.3486815991354256,0.37214542135988854
2015Q2,800,0.12942448607883314,0.34906075975898004,0.12457131847280502,0.13466982104909608,0.3365279494944019,0.36152110015244593
2015Q3,800,0.12770260942623385,0.35682207468900917,0.12341753614010653,0.13243030322045096,0.3454313883042466,0.3689912262365326
2015Q4,800,0.12871645186118236,0.3571474320889775,0.12394396755108987,0.13356243772002716,0.3462645814378873,0.3681039023155189
2016Q1,800,0.1286949899638692,0.3734016975567054,0.12385366805448705,0.13366159717371237,0.3619375661792796,0.38480715114357755
2016Q2,800,0.12844345269197155,0.3632489000255052,0.12359854635235741,0.13337301971518892,0.35013264753107226,0.37540698849488224
2016Q3,800,0.12555187563912534,0.35758353311396135,0.12075527828909713,0.1305164404007704,0.34610242858249163,0.3700362381602228
2016Q4,800,0.13039672100616992,0.359978569084119,0.12562966261366143,0.1355641468542586,0.34738705733791636,0.3723637391111869
2017Q1,800,0.12925819549033832,0.36275569182179773,0.12474334570410232,0.13388546597508694,0.351751659634239,0.37387348711996127
2017Q2,800,0.1279095868633391,0.3683995766693007,0.1230895769772091,0.13260501381351145,0.35576278919172,0.3808380862244409
2017Q3,800,0.12222380379328965,0.3546434995500532,0.11750909922778052,0.12697909175601702,0.3430498186527105,0.3663408386414194
2017Q4,800,0.1264449536449783,0.35720983572985154,0.12120945009819152,0.1315288241306158,0.34432798864026165,0.369368966167665
2018Q1,800,0.126504230211535,0.35195890813733843,0.12156921106072135,0.13151878419328072,0.3413319134388216,0.3639557905996831
2018Q2,800,0.12198977706756599,0.3568504905347385,0.11717050765588692,0.1267439392204571,0.3441455910544485,0.370176629300018
2018Q3,800,0.12320112533486688,0.354780876949485,0.11819942421334077,0.12784828945536708,0.34253482104093447,0.36820152833380415
