quarter,n_answers,n_questions,ai_match_cosine,ai_mismatch_cosine,match_minus_mismatch
2010Q3,25,25,0.6410642268228354,0.12689822207751522,0.5141660047453201
2010Q4,24,24,0.5920279333496837,0.16455615760824893,0.4274717757414348
2011Q1,25,25,0.640901312133584,0.11779113624321055,0.5231101758903735
2011Q2,24,23,0.6402811594074447,0.1059492882468901,0.5343318711605547
2011Q3,25,25,0.6321795154561497,0.11409079851082801,0.5180887169453217
2011Q4,25,24,0.6072285119419784,0.12293931255752433,0.484289199384454
2012Q1,24,24,0.6116135490582838,0.12343453068291783,0.48817901837536587
2012Q2,25,25,0.6439311628109415,0.1206140393717515,0.5233171234391899
2012Q3,25,25,0.6277096447927009,0.0797883346556369,0.547921310137064
2012Q4,25,23,0.6058463289562094,0.11049626562791243,0.4953500633282969
2013Q1,25,25,0.6395716549417744,0.08912717308312698,0.5504444818586475
2013Q2,25,25,0.6707445051206885,0.13431651238486705,0.5364279927358215
2013Q3,25,25,0.6204347312783149,0.1075005711072087,0.5129341601711063
2013Q4,25,25,0.6220578308943119,0.09709850688397115,0.5249593240103406
2014Q1,25,25,0.6235122906157082,0.12689911212760635,0.49661317848810194
2014Q2,25,24,0.6211769688480477,0.11238972453638929,0.5087872443116586
2014Q3,25,25,0.611857548989842,0.1139535673619865,0.4979039816278555
2014Q4,25,24,0.6595593265899895,0.12822966142491368,0.5313296651650756
2015Q1,25,25,0.5740384108082695,0.10880518301591934,0.4652332277923501
2015Q2,25,25,0.5776719536835874,0.09277576288668861,0.4848961907968989
2015Q3,25,25,0.6360765793052772,0.16599338737142766,0.47008319193384956
2015Q4,24,24,0.5811799210588204,0.08222416224106838,0.49895575881775206
2016Q1,24,24,0.6010599826466504,0.10680415324549158,0.49425582940115875
2016Q2,25,25,0.5725632191995433,0.12499073831916242,0.4475724808803808
2016Q3,25,25,0.6249979271892225,0.08785435392753724,0.5371435732616852
2016Q4,25,25,0.5933552875025042,0.0932342797739773,0.500121007728527
2017Q1,25,25,0.632165329625444,0.12152131981916675,0.5106440098062772
2017Q2,25,25,0.5616678874729317,0.13894127795542915,0.4227266095175025
2017Q3,25,23,0.5846435258474239,0.12911202839846342,0.4555314974489605
2017Q4,25,23,0.6081356537862285,0.1368407157269892,0.4712949380592392
2018Q1,25,25,0.6217951718690219,0.10408787427166377,0.5177072975973583
2018Q2,25,23,0.627095145836306,0.11167748924253243,0.5154176565937736
2018Q3,24,23,0.6408409866587939,0.1231390381487768,0.5177019485100169
2018Q4,25,25,0.5803104241475744,0.11062051782382777,0.4696899063237466
2019Q1,25,25,0.6254868818484144,0.1131985207034164,0.512288361144998
2019Q2,25,25,0.6095116550657894,0.15489371261455037,0.4546179424512391
2019Q3,25,25,0.6261478677492013,0.13066509365173942,0.4954827740974619
2019Q4,25,24,0.6395958801231519,0.1087262040907909,0.530869676032361
2020Q1,25,25,0.6594137119361885,0.12088624359330949,0.538527468342879
2020Q2,25,23,0.6054874236052781,0.14757759416501823,0.45790982944025976
2020Q3,24,24,0.6120520094091537,0.12562811104162633,0.4864238983675275
2020Q4,25,25,0.5236474436434183,0.08500688774144231,0.43864055590197604
2021Q1,25,25,0.6565298460517424,0.1275096787287902,0.5290201673229521
2021Q2,25,23,0.6329285777903553,0.10502461772549795,0.5279039600648574
2021Q3,25,25,0.612428644849338,0.11860717960163553,0.49382146524770243
2021Q4,25,25,0.5971283491387953,0.13471035512391036,0.4624179940148849
2022Q1,25,25,0.6559574361646291,0.14478153668569152,0.5111758994789376
2022Q2,25,24,0.6050145391126811,0.12840231028798318,0.476612228824698
2022Q3,25,24,0.6436240876613346,0.15224511404275956,0.4913789736185749
2022Q4,25,22,0.5304031989319017,0.11774365417229708,0.4126595447596047
2023Q1,25,25,0.5810584958759312,0.15027031168939528,0.43078818418653597
2023Q2,25,25,0.6362607151252687,0.11446005985465543,0.5218006552706131
2023Q3,25,23,0.5787672658887393,0.09246628923385958,0.48630097665487965
2023Q4,25,25,0.6411333685027596,0.1300446408251942,0.5110887276775652
2024Q1,25,25,0.6098269095833478,0.15122586789694104,0.45860104168640686
2024Q2,25,24,0.6276873894783871,0.11526375292430016,0.5124236365540868
2024Q3,25,21,0.6250981574756775,0.0849214506008801,0.5401767068747975
2024Q4,25,24,0.6487332317512059,0.0842016726831734,0.5645315590680325
2025Q1,25,24,0.6000786483440144,0.11296597476178542,0.48711267358222893
2025Q2,25,23,0.6458099438970778,0.1351778974416888,0.5106320464553891
2025Q3,25,24,0.6452070954369353,0.0939166410741615,0.5512904543627737
2025Q4,25,22,0.6231466023196678,0.10982277882336171,0.5133238234963062
2026Q1,25,23,0.5764297136062582,0.12606030933018691,0.4503694042760712
2026Q2,25,23,0.5957115774484695,0.09533906609956913,0.5003725113489002
