quarter,n,n_sample,n_topics,p_within,overall_cosine,within_cosine,between_cosine,mc_overall_cosine,mc_between_cosine,between_centroid_cosine,eff_topics,topic_entropy,comp_jsd
2011Q2,369,369,47,0.031297867326499355,0.11784545530576077,0.32196510370023346,0.11125053881006731,-0.0026832281945437775,-0.010168976991649757,0.2445696139805195,36.20451386051183,3.5891838033376215,0.08970439878647943
2011Q3,432,432,50,0.025382400962447368,0.12646459693915854,0.3135325296035935,0.12159270330744726,-0.0022813998279779175,-0.007738337085104902,0.28133861905302393,41.53914588986327,3.726636257087408,0.0496828264054484
2011Q4,365,365,48,0.02688544332379949,0.1107136623021415,0.32272883874402836,0.10485605594849368,-0.002708520381584421,-0.009326077574046654,0.23008591322127292,38.24605283630279,3.6440403611255467,0.08164082872035555
2012Q1,271,271,47,0.02864561978953123,0.11399436813691476,0.32657993496159443,0.10772513679965319,-0.0036776814847311896,-0.010793235816809396,0.21600420499613734,37.069815343253204,3.6128030358514267,0.09803559162611494
2012Q2,383,383,50,0.02422320342296283,0.11644904387232438,0.2999058405329135,0.11189481454403585,-0.0025823543282648244,-0.007738407849612413,0.25740116112383365,41.91838792980984,3.7357245834004837,0.060221278801156304
2012Q3,377,377,49,0.0227580563237203,0.12155910486177544,0.3136095837138719,0.11708662428212352,-0.0026298216118065335,-0.007769035368618267,0.2792875154475968,43.09909425034129,3.7635019818155944,0.04247538053128772
2012Q4,410,410,50,0.023579223567296796,0.11017845850806988,0.3002999838603983,0.10558728423214336,-0.0024161487236821,-0.0077000399167755,0.2634335498408853,42.94754345030337,3.7599794512253473,0.037961475184498626
2013Q1,434,434,49,0.024361171124189823,0.12027955694123628,0.32794366838530375,0.11509429698077431,-0.0022711114922273363,-0.008099238612091142,0.2660177486426784,42.102147378625894,3.7400987460057347,0.05598956662637038
2013Q2,514,514,50,0.023452492016899144,0.11330099323420996,0.30293250805043714,0.10874685577441008,-0.0019163537268218215,-0.0069745607297250845,0.2669804043574133,43.28337815017459,3.7677686848696363,0.03692451388891335
2013Q3,465,465,50,0.02296996662958843,0.11390399099771378,0.2976640848563243,0.10958379296938758,-0.002118656416316747,-0.006958405497400674,0.2703069849428425,44.05674500110183,3.785478462138199,0.033593431916402454
2013Q4,519,519,50,0.026171505940292068,0.12030609160936505,0.31182227460800377,0.11515912070885696,-0.0018865928822622538,-0.007509040102559426,0.2789816205506441,41.5414695392704,3.7266921943092433,0.04362580298405693
2014Q1,733,733,50,0.024109319437300113,0.11186968098614052,0.29320067126704147,0.10738990998756573,-0.0013367719989349032,-0.006404377654190189,0.2992182351360933,43.333566405416256,3.7689275403595373,0.0267182236279266
2014Q2,800,800,50,0.023701501877346685,0.10382877947598813,0.27797972848598484,0.09960093414708587,-0.001223756345683228,-0.0061122759022353675,0.2898618967000262,43.80049231882111,3.7796450574749634,0.022578562628382592
2014Q3,800,800,50,0.023444931163954942,0.11116213869758859,0.28522871957188933,0.10698318439508613,-0.0012149992660448596,-0.005988578723063455,0.29926501332660316,44.315989003710826,3.791345537524783,0.01940060557394751
