quarter,n,overall_cosine,within_topic_cosine,overall_cosine_lo,overall_cosine_hi,within_topic_cosine_lo,within_topic_cosine_hi
2011Q2,369,0.11784545530576075,0.46689875127610936,0.11107148318139115,0.12572623750602446,0.44210908526056897,0.4916935233881165
2011Q3,432,0.12646459693915854,0.39864734352882,0.11971983696920806,0.13375976447681834,0.3778106849866902,0.4213378723735486
2011Q4,365,0.11071366230214148,0.4301503379976328,0.10380974269851119,0.11837444134520583,0.4051568985330136,0.45395435348546
2012Q1,271,0.11399436813691476,0.4349841767017354,0.10631410243227417,0.12144733610187519,0.41109830640395534,0.45860010183892236
2012Q2,383,0.11644904387232438,0.38858144206986367,0.10961177755708999,0.12333019751099533,0.36775574194519767,0.41042203313315734
2012Q3,377,0.12155910486177542,0.4003841967537759,0.11475562381968803,0.1283152270495748,0.37537552101985316,0.4261300624493242
2012Q4,410,0.11017845850806988,0.3981187337350568,0.1039391580364615,0.11647379806966429,0.3803706563751871,0.4177589162479154
2013Q1,437,0.11979827720455287,0.4087005525333332,0.11314050381984332,0.12665624838621034,0.38854419568518933,0.42857518943878997
2013Q2,515,0.11339137584492166,0.39620199234777986,0.10688963950750197,0.11963221595327395,0.3774645684982796,0.41690841407311413
2013Q3,465,0.11390399099771378,0.3992622603932633,0.1078036864773895,0.12056128033144953,0.3784331989311318,0.42245963293772876
2013Q4,519,0.12030609160936508,0.39417335398312464,0.11329429681666452,0.12710641151728316,0.3752728618765831,0.4131960595676657
2014Q1,733,0.11186968098614052,0.3840897862442285,0.10710997612696288,0.1169808683724579,0.37055748714217895,0.39753303621753866
2014Q2,800,0.10460842155371969,0.37490415812122063,0.1003414394348127,0.10922029754216855,0.3603981148211667,0.38894768391714396
2014Q3,800,0.11006887635586445,0.37455901684397885,0.1052547081272676,0.11500232987237761,0.3612308240115446,0.38704677358785516
2014Q4,800,0.10400541952494424,0.372448117912651,0.0988954075399114,0.1090476606670395,0.3599030694303312,0.3845340114390521
2015Q1,800,0.11255807732248825,0.38980726965451096,0.10793390474925685,0.11737515649461931,0.3768424823789059,0.4049139200563916
2015Q2,800,0.12164854825689199,0.3883340675535001,0.1165155719440671,0.1267674755755889,0.3766888599290742,0.3996495100273878
2015Q3,800,0.11368941929497026,0.38728024379541187,0.1087613995359601,0.1184383172464028,0.3740135515655396,0.4003909123283757
2015Q4,800,0.11900185510904433,0.3543115198660803,0.11372398978923307,0.12407243361473923,0.3412512050406329,0.36680274163863497
2016Q1,800,0.11731366843052358,0.3758073360490249,0.11233410404788938,0.12218884768037482,0.3641659139936635,0.3887882085056358
2016Q2,800,0.11095662442762594,0.3678928361483072,0.10606342624916594,0.11580786674506117,0.35288322593890353,0.38279636838784525
2016Q3,800,0.11387393117780661,0.36543320606947954,0.10922691598286195,0.1183944301396619,0.3529884291737064,0.3792503972872815
2016Q4,800,0.11684641937478332,0.36250052375146447,0.11177485458452141,0.12193557406917477,0.35000345986728276,0.3767333996104646
2017Q1,800,0.1140314242658516,0.37698132273309376,0.10974924583872801,0.118678008367186,0.3640133207452432,0.39137330118684555
2017Q2,784,0.11924626221367672,0.3881389764330739,0.11455789931010954,0.12410235927023223,0.3742443836412008,0.4006691291984587
2017Q3,800,0.11855914824844353,0.39052163508399873,0.11370861266131842,0.12354091404853758,0.3766257538612267,0.40589701128777095
