quarter,volume,n_sample,n_lc,sem_pairwise_cosine,sem_centroid_variance,sem_eff_dim,lc_sem_pairwise_cosine,lc_sem_centroid_variance,lc_sem_eff_dim
2011Q2,369,369,278,0.1327807857022276,0.8648690267251498,93.3821742603926,0.09079351555573222,0.9059359575218064,91.00410786961221
2011Q3,432,432,337,0.1272201636810005,0.8707595126238166,103.25117011544535,0.0871784206763702,0.9101129099487822,102.38748072135054
2011Q4,365,365,274,0.12705323902721982,0.870555126011211,96.66273171165537,0.0914263047497515,0.9052577328588243,91.89345917546014
2012Q1,271,271,216,0.14722498932101621,0.8496282394218657,81.7022412627724,0.09862181547792419,0.8972051373715106,82.16935510240772
2012Q2,383,383,299,0.1329359863459208,0.8648001389447997,102.2433586285119,0.08889187653985589,0.9080609391007457,100.21553300286256
2012Q3,377,377,264,0.12380309237763713,0.8738727778939216,102.1576243768017,0.08790271771096046,0.908642368340975,93.99398887261611
2012Q4,410,410,317,0.13017961157762883,0.8676988752798775,100.04690507438207,0.08782105591552855,0.9093014079832586,103.21987527128616
2013Q1,437,437,345,0.12535335242012355,0.8726451678371308,99.2358656149419,0.08222950552350049,0.9151102901446836,100.75408300527077
2013Q2,515,515,387,0.12819969569080436,0.8701074881843234,104.01145798103668,0.08534317025535441,0.9122933754042202,106.431897094616
2013Q3,465,465,353,0.12319990302536318,0.8749145053682398,104.82128744830909,0.08317028078719264,0.9142324678835926,107.67745939795542
2013Q4,519,519,409,0.13144509597130166,0.8668813878359648,107.01091758663186,0.08780422273980765,0.9099654697363289,107.92566811579628
2014Q1,733,733,549,0.1261318642598207,0.8726759554731395,113.63272927202243,0.08616695605665456,0.9121685028796964,116.7621275887378
2014Q2,1088,800,618,0.12624397192250134,0.8726638330424018,116.5472080554444,0.08666244234656895,0.9118596651653187,122.21902047522711
2014Q3,1181,800,621,0.12446452389584725,0.8744410567590226,117.20428085331461,0.08372342095647764,0.9148010934089917,122.79604143711703
2014Q4,1013,800,618,0.12406191983686078,0.8748431575629353,118.29867950910553,0.08347113871392271,0.9150458048762293,124.34603477157216
2015Q1,941,800,627,0.11993822195807449,0.8789617008193731,120.88640910734641,0.08368314977596271,0.9148554198409049,124.7902998678078
2015Q2,1156,800,610,0.12563072765890854,0.8732763107506651,118.9466737775191,0.08604308602834539,0.9124586239487502,122.82883144363693
2015Q3,980,800,634,0.12782978491103356,0.8710800023201053,116.16597790224654,0.0848434819084773,0.9137130535519462,122.92570545212413
2015Q4,1665,800,663,0.12894320986846294,0.8699679691438726,116.30057993578369,0.08427333900507326,0.914345474477589,122.87160583906439
2016Q1,1312,800,640,0.1290332586720589,0.8698780329012812,115.65327516018878,0.08574573305393908,0.9128257446539577,120.66761418761995
2016Q2,1043,800,625,0.12366211210335978,0.8752424655367694,118.21498056988527,0.07939684577600019,0.9191301891772414,125.07471124307499
2016Q3,952,800,640,0.13054533258020073,0.8683678490855246,116.01477302071925,0.08292098355083433,0.9156460804859639,123.1475197267629
