quarter,volume,n_50,cos_50,ttr_50,mtld_50,n_100,cos_100,ttr_100,mtld_100,n_150,cos_150,ttr_150,mtld_150,n_200,cos_200,ttr_200,mtld_200
2011Q2,369,341,0.01168121706432925,0.7869794721407625,73.0350936060052,278,0.01701474021134933,0.681115107913669,78.08297318739517,224,0.020160320496788117,0.6236309523809523,78.09852819826723,167,0.023104583235290323,0.5844610778443114,79.05847069841144
2011Q3,432,403,0.012228320860925948,0.771712158808933,67.16188022481775,337,0.017228690837767423,0.668486646884273,73.37622786035195,265,0.021825807852458936,0.6123018867924528,74.57314254093265,189,0.02566338725336644,0.5714814814814815,74.14832557410762
2011Q4,365,336,0.011737526553435962,0.7882142857142858,72.3112563850901,274,0.01630171456840883,0.6824087591240876,78.29821490398841,202,0.01986352257487813,0.6182178217821782,75.90950230929877,148,0.024314189289262718,0.5823986486486487,78.26832994911364
2012Q1,271,248,0.012062717379099702,0.7967741935483872,74.21120984895434,216,0.017064248597232802,0.6886111111111112,82.27212650998074,171,0.02084192009877949,0.6287719298245614,83.1819115766953,138,0.024075831522860837,0.5872463768115942,80.81025140047751
2012Q2,383,365,0.01095740733143374,0.7762739726027398,66.64601286556886,299,0.015433444083519354,0.6775585284280936,76.72527923975356,230,0.01946392291337659,0.613536231884058,75.83332946307591,171,0.022843840625566346,0.5678070175438596,73.34407003727287
2012Q3,377,348,0.011168193765152587,0.775632183908046,67.97717803840673,264,0.016374423481499718,0.6664393939393939,73.07938327054578,218,0.02048384462752793,0.6037003058103976,71.7364875480868,159,0.02382424428131287,0.5590566037735848,70.75744050183843
2012Q4,410,386,0.011094715490432597,0.7730051813471502,70.73386493589533,317,0.01581099356366928,0.6750788643533123,75.83864922551845,241,0.019432830187888127,0.6122544951590595,74.55481068916615,186,0.022532615275583163,0.5699462365591398,74.44128674254617
2013Q1,437,413,0.010882556803347411,0.7758837772397095,68.66367482346475,345,0.01605082340516736,0.6690144927536232,72.17662047270683,269,0.019972865221923115,0.6126146220570013,72.52310965485749,213,0.023348586240746948,0.5710093896713615,71.16473004534497
2013Q2,515,470,0.0104195357060931,0.7796170212765957,68.26791994741338,387,0.015078869702646165,0.6767700258397932,76.44849220260089,298,0.019662038692057526,0.6203579418344519,77.27195018420144,250,0.023198947177621925,0.5759,75.20047528529595
2013Q3,465,435,0.010077809427432374,0.7710344827586206,68.0525417000512,353,0.014757093332570068,0.6665722379603399,72.138983631339,288,0.019209965506902887,0.6031712962962963,71.71094104775592,219,0.02256910669074446,0.5637899543378996,72.26643269000921
2013Q4,519,478,0.011262865930504639,0.7850627615062762,72.26354601345278,409,0.016404305972725238,0.6772860635696821,76.99314261793194,321,0.020694748488078393,0.6179439252336449,75.46714958404144,248,0.02425202732065897,0.5799596774193547,77.65928572534854
2014Q1,733,670,0.010430039852851672,0.7768059701492538,69.09472310516986,549,0.015656790289990948,0.6662295081967213,71.64716286938061,428,0.0201434333230752,0.6151557632398753,75.09545648854197,344,0.023547926145533443,0.5735755813953488,74.38121803008211
