quarter,volume,n_sample,topic_entropy,doc_entropy,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
2011Q2,369,369,3.5306000367012564,1.6384059301762124,0.08664434131573613,0.06849660540087109,0.09048468090483035,0.048586470227486,0.050936240758118756,0.09203217162944076,0.013137620177630165,0.16208247411995083,0.00695393745189995,0.015868541813816597,0.052077002853700226,0.007861984664847723,0.052901836361165765,0.15208498925855385,0.09985110306195195
2011Q3,432,432,3.5927277391308583,1.6422239765366624,0.10426571255866206,0.08632393846080465,0.10890417618117816,0.03433591172635299,0.060650791605759695,0.10619697555874855,0.01328282512389705,0.13492421006463187,0.008285417782178502,0.024570129834940065,0.04874873443892581,0.006409374460786473,0.09289882683197602,0.0789082776999963,0.09129469767116138
2011Q4,365,365,3.569988332583701,1.614883296536274,0.07520125499636184,0.08991263534647624,0.09162534542088109,0.0617133975276189,0.07114672079958845,0.07067948093628497,0.0186562822360913,0.16577834792394733,0.007865626887198779,0.01602691465898901,0.043028721687674486,0.008741691309594112,0.0542540847672316,0.13924499880100868,0.08612449670105311
2012Q1,271,271,3.5194148169209467,1.6760738986076698,0.08130336670768319,0.09340167957770194,0.05604082085462539,0.09104404116016708,0.032251345477448276,0.08195823929616199,0.015072368588470103,0.19208395398828876,0.006579904442072851,0.021540541858850553,0.04058560341624162,0.01101756019444144,0.05439664049232186,0.13311479760548778,0.08960913634003714
2012Q2,383,383,3.6477332340762905,1.7098692779502307,0.09874280330035956,0.05781656468772265,0.06809546917238632,0.06487820194024105,0.058026297090876054,0.10186257540854493,0.02493223893897218,0.1421424582070096,0.009958061302818852,0.025115814246945697,0.06001512867482918,0.008049763788618996,0.0755319211040814,0.09470381239662719,0.11012888973996637
2012Q3,377,377,3.6386846122636887,1.673225885281153,0.09253950304233284,0.0831930372780772,0.0753408832655618,0.0642823141317506,0.07201163913957626,0.10557382996522283,0.016227942459358744,0.12394118665721707,0.007250971070859235,0.02287227727601012,0.06453728830798573,0.007981898033604974,0.058833932622162376,0.09614210906435333,0.10927118768592696
2012Q4,410,410,3.6494230637469967,1.6724775717932212,0.08866941171792328,0.08904749288809041,0.06697947372073067,0.061570065448288275,0.05016195956224996,0.11548401975239572,0.02233281461932725,0.14465336371554277,0.008899439928380444,0.031868588954697574,0.059185621696649926,0.00826919811242558,0.07110584180197409,0.09083846614593212,0.09093424193539167
2013Q1,437,437,3.6580125017407803,1.6409523399525825,0.09604725545831838,0.0781455067716976,0.0765059726149386,0.04933636482331136,0.08505702814950122,0.1400223702899596,0.0213809875386058,0.11826664797757144,0.005965803774943998,0.03704448349391641,0.06219997720325538,0.01021529011944635,0.07006453875898158,0.0742174429523586,0.07553033007319362
2013Q2,515,515,3.6424023752030035,1.6376160687253813,0.08457400245379049,0.07815903488193797,0.07009310999694639,0.06450717433406414,0.10613788387599986,0.11005451872337936,0.021191086608554913,0.1265299270640658,0.008595918069427002,0.019265108538578726,0.05527367345804695,0.0074890995063265665,0.07711356443829875,0.10020028269974116,0.07081561535084185
2013Q3,465,465,3.672484215342158,1.6327033839323366,0.11075683733360416,0.07493677168090324,0.06647761460229014,0.04748566379733012,0.07863234347470756,0.1267282871977896,0.02100038745025829,0.11686428237327173,0.011617437395439509,0.024991097615924864,0.0628867622386254,0.016032669701897782,0.06421519729795265,0.09894071751053071,0.07843393032947409
