quarter,n,overall_cosine,within_topic_cosine,overall_cosine_lo,overall_cosine_hi,within_topic_cosine_lo,within_topic_cosine_hi
2011Q2,171,0.12710306312940783,0.40020365867685986,0.11651658846910937,0.13790583189675903,0.3745944562591229,0.4256943159380987
2011Q3,429,0.10559604075134452,0.3683086485362261,0.09913769716614347,0.11214758203353256,0.3513774029996696,0.3865620508765832
2011Q4,445,0.1013611597546323,0.34753051684274905,0.09500071465019928,0.10818643113549874,0.32672192344548817,0.3674244597395197
2012Q1,437,0.09639399321748363,0.3359002281022606,0.09017925151353211,0.10341396090250313,0.31672607541416425,0.35682564361877445
2012Q2,461,0.09504415765043968,0.3209037657645316,0.08907212921415651,0.1009465144673473,0.3041982876715646,0.3398601332540864
2012Q3,468,0.0962906152754543,0.34956305732453075,0.09040079653735053,0.10261802565212572,0.3303668820059811,0.3686621315721639
2012Q4,464,0.09489475571964351,0.35665385431604185,0.0889663919308439,0.10098532713120852,0.3385241759879459,0.37625283094049095
2013Q1,498,0.09898390354144049,0.3244719178970803,0.09261309127769773,0.10556320626544513,0.3062236287278331,0.34214098443573604
2013Q2,466,0.09782525273545513,0.3454819727681787,0.0916307199353465,0.10411856538782724,0.32929005638751446,0.3622045603344293
2013Q3,511,0.09139206179685117,0.34311106956681836,0.08609583153847998,0.09651958779228638,0.3254061440873164,0.36123489558343624
2013Q4,480,0.0810242549127726,0.33184891470963496,0.07635400797279698,0.08597443201768813,0.31705814927993425,0.34844885047055996
2014Q1,488,0.0821229266660522,0.33597168536929073,0.07708015959816368,0.08677320326486716,0.31855093277610297,0.35668578956179914
2014Q2,471,0.07654022066997912,0.3411488272454509,0.07199464171005045,0.08169104279584659,0.3259444338116985,0.3585368421382158
2014Q3,505,0.08011287702828117,0.332868491549911,0.0750147677626064,0.0848623531996046,0.3145400319309075,0.3512361378926736
2014Q4,510,0.07948342744705585,0.3099685456461265,0.07464547768200638,0.08459655241996267,0.2927987216314305,0.32988935182084494
2015Q1,514,0.07868625174141967,0.33520186240416133,0.07430109529708605,0.08351213167026736,0.3202278739151301,0.3525385420002797
2015Q2,489,0.08096750868959754,0.32175650855844096,0.0758967623482558,0.08613123067665364,0.3061220926074137,0.33741824145819443
2015Q3,485,0.07990136984566881,0.3251819989291071,0.07568943854887257,0.08437263105323146,0.307859369443981,0.3436462004186337
2015Q4,475,0.08385846408837884,0.32283923511822815,0.07884423625549696,0.08847359297672018,0.30630146055512947,0.33988397829028993
2016Q1,471,0.08316159204972266,0.3353236446198218,0.07825320381161398,0.08857560626653892,0.31896312810713257,0.3530446262351288
2016Q2,469,0.079159850277663,0.32664347861224863,0.07470359822176562,0.08369047133662277,0.31095349930866173,0.34461841761078715
2016Q3,504,0.074778053471889,0.319206998193063,0.07052518504375653,0.07934174169352647,0.3016637986461914,0.3379884602493723
2016Q4,495,0.0776289368680198,0.333662531246392,0.07308654896260595,0.08257465280968156,0.316317059412484,0.3520999709259595
2017Q1,469,0.08431006712692421,0.3280375867120232,0.07918198161656297,0.08968263453796407,0.31111941706475693,0.34590918920198827
