corpus,metric,n_quarters,pre_slope,pre_slope_p,level_jump,level_jump_p,slope_change,slope_change_p,post_slope,mk_tau_full,mk_p_full,mk_tau_post,mk_p_post,theil_slope_full,prepost_diff,prepost_diff_lo,prepost_diff_hi,prepost_p
Travel,sem_pairwise_cosine,61,-0.000274417783597021,0.21957671324106587,0.0015990783561414161,0.7388353082715526,0.0011936366781688352,3.7136951670596036e-07,0.0009192188945718143,0.12131147540983606,0.16712925138267465,0.561904761904762,0.0028582293753424705,0.0001094313184750202,0.0015847927036135995,-0.002518026234891847,0.005365363598662513,0.2082
Travel,lc_sem_pairwise_cosine,61,-2.0214735287703096e-05,0.9291377461376633,-0.0014184595508926173,0.7826006194683934,0.0012443110540584432,1.0948392289010293e-06,0.00122409631877074,0.28415300546448086,0.0012125320714269224,0.580952380952381,0.0019359627197342143,0.0002683027472240217,0.006675168401241466,0.0022121796634150762,0.011062904349503399,0.0011
