quarter,n_answers,n_questions,within_question_cosine,overall_cosine,within_question_cosine_lo,within_question_cosine_hi
2011Q2,325,134,0.5029894305262047,0.12676777077200563,0.48948909772173094,0.5168162337849709
2011Q3,809,370,0.5216686297018072,0.10154202869984987,0.511510113597544,0.5315118882765644
2011Q4,1013,462,0.5144031773781195,0.0926721621494858,0.5057762914029357,0.5234136316027723
2012Q1,933,445,0.5254860676346439,0.09578215274371076,0.5172434085410402,0.5334435347726888
2012Q2,876,429,0.5213449075181287,0.09145510685883376,0.5129377038059216,0.5301598872539365
2012Q3,743,409,0.5442991938428939,0.09326647139207793,0.5358232314053006,0.5534690118377578
2012Q4,639,356,0.524189411955421,0.08478324782667591,0.5135820864311111,0.5347375509686366
2013Q1,1091,548,0.5216546148808887,0.09262918921564561,0.5142018286862718,0.5292424694444349
2013Q2,875,471,0.5403012604297819,0.09062844225591088,0.53190912541434,0.5483089105147332
2013Q3,794,424,0.5464146897792476,0.08171896996709893,0.5371999602862463,0.5554210072279546
2013Q4,709,403,0.5288260772962404,0.0742454235368526,0.5187156694476515,0.5383252988207515
2014Q1,1001,533,0.5324991658204462,0.07194163901251549,0.5240185734865094,0.541171729816699
2014Q2,1305,648,0.530323279345816,0.07475562464328524,0.5227471409022583,0.5374279056667476
2014Q3,1255,655,0.5354280960926571,0.07197663813936427,0.5282400597191833,0.5427530127996092
2014Q4,1167,587,0.5252697476157578,0.0709078603488535,0.5176955303936535,0.5332479194841211
2015Q1,1420,712,0.5238373130150747,0.07434967848399576,0.5174425440707705,0.5308226759036385
2015Q2,1703,813,0.525856291360982,0.0771099923523755,0.5195700969820065,0.5323329361741573
2015Q3,1350,733,0.527654696918467,0.07518273531791411,0.5201509858118554,0.5345712622658595
2015Q4,1206,624,0.5094551833670398,0.07487492960711169,0.5016031697000253,0.5175453699427957
2016Q1,1394,679,0.5247226368893635,0.07610911281143327,0.5174297895972054,0.5319922758477509
2016Q2,1751,848,0.5154859987793485,0.0698580177162697,0.5086087130690994,0.5220831010034502
2016Q3,2236,1007,0.5209710713795443,0.06809110096949354,0.5152153688617362,0.5268670377034755
2016Q4,1692,804,0.5164365561755877,0.0733005636695292,0.5099250186219437,0.5229919367507325
2017Q1,1687,849,0.5242990314154308,0.07014335254277135,0.5179829617437178,0.5316512204629671
2017Q2,1369,704,0.518501630527665,0.07463386189558895,0.5109977737021333,0.5259806053150926
2017Q3,1695,828,0.5246268955065208,0.07433866483941226,0.5179465657758929,0.531369439901732
2017Q4,1359,635,0.523583292148692,0.0780958582038029,0.5162449156179031,0.5307754418394374
2018Q1,1271,601,0.5124128940501889,0.07590226052369661,0.5047042454165729,0.5203463579301597
2018Q2,1312,645,0.5225436851872387,0.07406612559069757,0.5150456275767881,0.5306602354388893
2018Q3,1398,663,0.5290707729724055,0.07795513321493602,0.5219156206957645,0.5364440733637443
2018Q4,1231,605,0.5191756047454716,0.07239366681568478,0.5106194179938802,0.5277908606688966
2019Q1,1348,639,0.5153301616172926,0.07648684602779908,0.5075505782180243,0.5227054997725532
2019Q2,1221,579,0.5078831191487484,0.07613643864163652,0.49972093647308635,0.5149987416201762
2019Q3,1435,648,0.513605228028001,0.07392778661091523,0.5061785626508422,0.5209284941136508
2019Q4,1143,511,0.5048996362809994,0.07267882492195923,0.49683721295846056,0.5130202281337493
2020Q1,1165,464,0.48968968508201033,0.08014959056338061,0.4819786211447578,0.4982095874099798
2020Q2,487,222,0.4951339766035416,0.08872425559340462,0.4841696852003149,0.5067220313909617
2020Q3,451,211,0.492405112569264,0.08224018756729007,0.47908120256363335,0.5047833625645589
2020Q4,364,162,0.4957145011445136,0.0797737558376557,0.4810108200902181,0.5089341104906372
2021Q1,361,159,0.47787140225016744,0.07685801297858534,0.4632237062414022,0.491907438562734
