quarter,n,n_sample,n_topics,p_within,overall_cosine,within_cosine,between_cosine,mc_overall_cosine,mc_between_cosine,between_centroid_cosine,eff_topics,topic_entropy,comp_jsd
2014Q4,800,800,50,0.023103879849812266,0.07158690764686125,0.2630225159155456,0.06705939934665893,-0.001239421288472071,-0.006065360905657696,0.1977075949438763,44.675904488298045,3.7994343068013294,0.017705967194590125
2015Q1,800,800,49,0.024583854818523154,0.07060547329894952,0.2571145102549581,0.06590480158101725,-0.0012335994635079683,-0.0061932122276380204,0.1990815431330183,43.00134599539174,3.7612314174220707,0.02573313877328073
2015Q2,800,800,50,0.024283479349186482,0.07167803453964758,0.2636506071030537,0.0669002513384938,-0.0012346748883721973,-0.006332159918576792,0.19560739532305313,43.62308270175208,3.775586430026744,0.021654089028768756
2015Q3,800,800,50,0.02305694618272841,0.07105794873638521,0.2689782032176936,0.06638680988318754,-0.0012400337509394725,-0.006224088339513202,0.19599023997274984,44.83473390646056,3.802983149435146,0.015335388658589922
2015Q4,800,800,50,0.023857947434292866,0.0735036525404784,0.27692072521271816,0.06853192346242462,-0.0012345681882520974,-0.006523429390794261,0.1962463914201376,43.83339138941264,3.7803958874221246,0.03165774697121705
2016Q1,800,800,50,0.024039424280350438,0.07668677948609066,0.27417359352258014,0.07182237263349094,-0.0012308778381901345,-0.006393455750986065,0.2074159562523254,43.87122694154259,3.7812586824538363,0.01861355035264448
2016Q2,800,800,50,0.023035043804755944,0.06958963400078826,0.26169069162575387,0.06506024300342407,-0.0012400052412873033,-0.006047784440870573,0.19797189483685051,44.82895542906337,3.8028542571834882,0.015287752699240426
2016Q3,800,800,50,0.022963078848560702,0.06674271863891552,0.25787358575095304,0.06225061288848482,-0.0012394736908440738,-0.006033762439999488,0.18628012661217558,44.75417419315215,3.8011847184300027,0.013725703187166797
2016Q4,800,800,50,0.0245369211514393,0.06746632376447943,0.25934019689754767,0.06263990419189581,-0.0012357973280100474,-0.006305565504291594,0.18270754863155197,43.008465309075945,3.761396963970598,0.027672942494317
2017Q1,800,800,50,0.023194618272841052,0.0721912970982858,0.26675613423802247,0.06757128044891582,-0.001237516406708505,-0.006115720122902142,0.19869430411589384,44.4681695424576,3.7947736420486735,0.031155406697107698
2017Q2,800,800,50,0.02367334167709637,0.07593759315518267,0.2798913670682934,0.07099225305305727,-0.001234045099210555,-0.006469747482597889,0.19855176651251394,44.189322531425404,3.7884831882133043,0.029395190473371066
2017Q3,800,800,49,0.022759699624530665,0.07433180199937159,0.280706424727426,0.06952538496805218,-0.0012390368265960232,-0.006396699665608517,0.1984822031236508,44.46604344094583,3.7947258291442614,0.03200802280472255
2017Q4,800,800,50,0.024618272841051315,0.0749767359293073,0.2724776924385154,0.06999188507724705,-0.0012368840178596594,-0.006509210131938919,0.19145180670280396,42.765844631002814,3.755739761358057,0.04247170067288065
2018Q1,800,800,50,0.02520337922403004,0.07514003292580773,0.2896588395587391,0.06959364640884144,-0.0012363118629022923,-0.007120749107722786,0.1917432460370435,42.548000037543765,3.7506328512718046,0.045349355336246074
2018Q2,800,800,50,0.026780350438047558,0.07484405331280457,0.27426301215380305,0.06935658745229065,-0.001237946940948216,-0.0070651405301363325,0.18944580479954315,41.162957910020374,3.7175387720868955,0.043857499873903215
2018Q3,800,800,50,0.026329787234042553,0.07549480063563274,0.282612052482688,0.06989397902053893,-0.0012346250757336965,-0.007098107752904945,0.1973663202598645,42.122588872450685,3.7405841495851586,0.04159845297533594
2018Q4,800,800,50,0.025973091364205256,0.07154599765648756,0.2774288959397411,0.06605598985482648,-0.0012362033354929064,-0.007027433747680998,0.18510934645973176,41.77454816637954,3.7322872585373768,0.0405267795966978
