quarter,n_answers,n_questions,ai_match_cosine,ai_mismatch_cosine,match_minus_mismatch
2011Q2,25,21,0.5959545485093941,0.06654013834271588,0.5294144101666782
2011Q3,25,25,0.6132988928613381,0.0675548464242939,0.5457440464370442
2011Q4,22,21,0.645450346256868,0.055431426432645606,0.5900189198242224
2012Q1,24,24,0.606828384304851,0.07921788611019277,0.5276104981946582
2012Q2,24,23,0.6086783395157748,0.05794077251062723,0.5507375670051476
2012Q3,24,23,0.6346282317365628,0.01106173336580245,0.6235664983707604
2012Q4,25,25,0.6282565617515256,0.04039014574600145,0.5878664160055241
2013Q1,23,23,0.6678798572703559,0.0778629964588726,0.5900168608114832
2013Q2,24,23,0.645786285663362,0.10510407321212922,0.5406822124512328
2013Q3,25,25,0.6464745941063582,0.08849985591963534,0.5579747381867228
2013Q4,25,25,0.6141846096621919,0.06421035055113897,0.5499742591110529
2014Q1,24,24,0.5962965439482494,0.0585853323255116,0.5377112116227377
2014Q2,25,25,0.6006939143314888,0.07075469969411803,0.5299392146373707
2014Q3,25,25,0.5975890911635245,0.05311491666851749,0.544474174495007
2014Q4,25,25,0.5955882780528057,0.05595489861669593,0.5396333794361098
2015Q1,25,24,0.6001183684615778,0.037679267621014124,0.5624391008405637
2015Q2,24,24,0.5674174366159719,0.07695679168854531,0.49046064492742664
2015Q3,24,24,0.6730373921392924,0.028015533772484794,0.6450218583668076
2015Q4,25,25,0.6231814963595634,0.05494445665046809,0.5682370397090953
2016Q1,25,25,0.5858463330945917,0.09565387689879418,0.49019245619579765
2016Q2,24,24,0.6112728734138696,0.07813409429898534,0.5331387791148842
2016Q3,24,24,0.563716716673655,0.031496548526554674,0.5322201681471003
2016Q4,25,25,0.5845738194341729,0.06098946203028003,0.5235843574038929
2017Q1,25,24,0.5818942798923166,0.0963290305197552,0.4855652493725614
2017Q2,24,24,0.6459464013584113,0.12340720727051518,0.5225391940878961
2017Q3,25,25,0.574038133332143,0.08625156296681563,0.48778657036532747
2017Q4,25,25,0.5552333963615717,0.06521193046986429,0.49002146589170736
2018Q1,25,25,0.6223969799211951,0.056313272232499864,0.5660837076886953
2018Q2,25,25,0.590571105637662,0.06984660426569765,0.5207245013719642
2018Q3,25,25,0.6032816871005942,0.052576920288824755,0.5507047668117694
2018Q4,24,24,0.6235358970041246,0.07516632518689655,0.5483695718172281
2019Q1,25,25,0.6142169619593194,0.10665079259091455,0.5075661693684048
2019Q2,25,24,0.6007331528986073,0.066663598795866,0.5340695541027414
2019Q3,25,25,0.6250855559467772,0.09620408330744326,0.5288814726393339
2019Q4,25,25,0.6246117198217472,0.0377356470487546,0.5868760727729927
2020Q1,24,24,0.5935321191695381,0.057772352449738405,0.5357597667197996
2020Q2,25,25,0.5529076877694533,0.06760197075824817,0.48530571701120506
2020Q3,25,24,0.5885804064169349,0.0899562312049244,0.49862417521201047
2020Q4,25,25,0.5641746258109268,0.05112722585976498,0.5130473999511619
2021Q1,25,24,0.6306180068681015,0.06670772703646474,0.5639102798316368
2021Q2,25,25,0.5944078387806424,0.04771094053156584,0.5466968982490765
2021Q3,24,23,0.6288797739920032,0.0873637736390586,0.5415160003529446
2021Q4,25,24,0.6238419662365248,0.03240389851839917,0.5914380677181256
2022Q1,25,25,0.6633595107821144,0.0870883270312582,0.5762711837508564
2022Q2,25,25,0.5582465391136062,0.0636946284734905,0.4945519106401158
2022Q3,25,24,0.5983236388345339,0.06338222218795485,0.534941416646579
2022Q4,25,25,0.6521158503606509,0.05053065265288832,0.6015851977077625
2023Q1,25,24,0.6128812305527958,0.11595548425698989,0.4969257462958058
2023Q2,25,25,0.6387589704805101,0.08345024188668969,0.5553087285938205
2023Q3,25,24,0.6018020296269705,0.06151221611146406,0.5402898135155063
2023Q4,25,24,0.5180188983693762,0.08612493319307796,0.4318939651762983
2024Q1,25,24,0.578961840583575,0.06705964858617447,0.5119021919974005
2024Q2,25,25,0.656038633406313,0.14896630461224367,0.5070723287940693
2024Q3,25,25,0.5878063935715747,0.08050491289962945,0.5073014806719452
2024Q4,25,25,0.564822016575341,0.08067613979126698,0.48414587678407406
2025Q1,25,25,0.6250444295907572,0.06469496398788141,0.5603494656028759
2025Q2,25,22,0.6200749991081902,0.05714243167656553,0.5629325674316247
2025Q3,25,22,0.5995348148985656,0.029041215902270406,0.5704935989962951
2025Q4,25,23,0.6242083932847915,0.03536344738353739,0.588844945901254
2026Q1,25,25,0.6532532426787079,0.06542684066024404,0.5878264020184638
2026Q2,25,22,0.6224553153515887,0.05422502169742868,0.56823029365416
