quarter,volume,n_sample,n_lc,sem_pairwise_cosine,sem_centroid_variance,sem_eff_dim,lc_sem_pairwise_cosine,lc_sem_centroid_variance,lc_sem_eff_dim,sem_pairwise_cosine_lo,sem_pairwise_cosine_hi,lc_sem_pairwise_cosine_lo,lc_sem_pairwise_cosine_hi
2015Q2,380,380,300,0.1199882575094967,0.8776959221155283,70.62032178475344,0.14190855546449813,0.8552311397203836,67.27344359617938,0.11328022622348484,0.1270598004162764,0.13402486449401335,0.15016002573986748
2015Q3,1092,800,590,0.11378426090490172,0.8851079694212294,81.2243551126557,0.13130437006116538,0.867223264464362,77.94936375231408,0.10930203657688874,0.1185383229290813,0.12571683047519724,0.1370877195888983
2015Q4,983,800,526,0.10854330680704798,0.8903423723264609,84.11976551233467,0.1290429220294428,0.8693012660352519,79.29702054065535,0.10355387756175738,0.11384330838079726,0.1231435537477016,0.13479433724040332
2016Q1,958,800,499,0.10548380405675083,0.8933980506983201,82.50512381911592,0.11959827624490708,0.8786373916433593,77.7014742186779,0.10071523569602796,0.11028519407663188,0.11389274448688119,0.12603159459767577
2016Q2,953,800,540,0.1124130981133326,0.886477418259309,81.14805913063998,0.13312674906870728,0.8652679300962347,76.21086450249385,0.10707401202732739,0.11760355574962159,0.12696264916390185,0.13965131904137498
2016Q3,931,800,536,0.11185298566075436,0.8870368305713217,80.64454046569399,0.12520933152029326,0.8731585963370208,77.12569202052437,0.10660233590970977,0.1166806182488528,0.11963730106110174,0.13122885341850557
2016Q4,877,800,561,0.10852844857593734,0.8903572119847826,85.86715602006417,0.12393810802004171,0.8745002843293701,81.14679038040734,0.10401820336401368,0.11326355876998918,0.11903303546982759,0.12936841661031045
2017Q1,938,800,594,0.10560458970148745,0.8932774160356394,84.43851922431801,0.12406278796493916,0.874462570263958,80.82461155933727,0.10084383610648297,0.11026545055816743,0.1184728511440468,0.12978415530486476
2017Q2,796,796,559,0.10905753968109674,0.8898231858712664,82.71816909378794,0.12251266577689648,0.8759175894391624,79.94937851183496,0.10471500383949892,0.11359390361227933,0.11770035022918166,0.12778379993348296
2017Q3,946,800,571,0.11066061816872766,0.8882277076039833,79.93179936575001,0.12821471469828338,0.8702585159754439,77.40675704427919,0.10580941897357642,0.11556641030995646,0.122168013496951,0.1336684747788854
