quarter,n,n_sample,n_topics,p_within,overall_cosine,within_cosine,between_cosine,mc_overall_cosine,mc_between_cosine,between_centroid_cosine,eff_topics,topic_entropy,comp_jsd
2010Q3,800,800,50,0.040957446808510635,0.08081357693670647,0.2741630318448822,0.07255627908427746,-0.0012131040041220608,-0.00928902661397703,0.18026560621895665,33.71576774317506,3.517965613488157,0.11306876163901326
2010Q4,800,800,50,0.031117021276595744,0.07142926570398131,0.2314857969780143,0.06628882810885041,-0.0012307089449424705,-0.006509737194094845,0.19272969490960257,38.69042090510422,3.6555920475652193,0.06948802126920624
2011Q1,800,800,50,0.029148936170212764,0.06611035032879596,0.2317916398077304,0.06113591757433311,-0.0012350771267836016,-0.0064552544083005875,0.1904367744261037,40.840512741471564,3.7096745481018734,0.054961038012877404
2011Q2,800,800,50,0.024424280350438046,0.0664364528866615,0.2333719384785175,0.06225709600189133,-0.001233636888840995,-0.005773260435368407,0.19095089666801687,43.85666715772653,3.7809267519065632,0.03730754602882619
2011Q3,800,800,50,0.02768773466833542,0.07453712898712604,0.2501789823661854,0.06953552075239375,-0.0012234343443422487,-0.006339154315008907,0.18868056444556822,40.9828238531791,3.713153048518182,0.055160654461956005
2011Q4,800,800,50,0.025372340425531915,0.06633397886486135,0.2428406537534847,0.06173900621180927,-0.0012332685657786247,-0.006076499530174241,0.18370750190366905,42.63211175999005,3.7526077664957844,0.043227046811771
2012Q1,800,800,50,0.02514392991239049,0.06573663051302829,0.24256376332001542,0.06117582490250543,-0.0012303997163167402,-0.005979554459445869,0.18375505007375326,43.444471397100415,3.7714836030425696,0.03360149830628163
2012Q2,800,800,50,0.02421151439299124,0.06285305653135184,0.25555675400738675,0.05807164292190422,-0.001239103599385262,-0.00624838716774561,0.17744098426670435,43.88234278499141,3.7815120247063034,0.03249763976768706
2012Q3,800,800,50,0.02266896120150188,0.0661774007942885,0.2543590670688119,0.06181257176270929,-0.001241026788986725,-0.005802055070556576,0.1854857219200175,45.20968113216307,3.8113112482438853,0.028789504747070753
2012Q4,800,800,50,0.02182415519399249,0.06311420155397995,0.2481171553016625,0.05898658667228436,-0.0012387015618061604,-0.005576967899529962,0.18653519262586477,46.33830144141438,3.835968864068622,0.018700174325990297
2013Q1,800,800,50,0.02341677096370463,0.06400948487500306,0.24092329903448592,0.05976739864690335,-0.0012353848632410144,-0.005714572053569267,0.18262166715145056,44.45040056041906,3.794373973402304,0.026881142451409632
2013Q2,800,800,50,0.023385481852315395,0.0663819507920461,0.23748303618126607,0.06228485695110037,-0.0012362067631839456,-0.005507225124350201,0.1937065385816533,44.78220330765457,3.8018108129002144,0.02527620702685016
2013Q3,800,800,50,0.02205569461827284,0.062237839785442214,0.24665196978548168,0.05807872590524257,-0.001240078626131939,-0.00559484784328949,0.18317125009993263,46.14375686258983,3.831761672547307,0.020828845043738765
2013Q4,800,800,50,0.021157697121401753,0.061489482717339984,0.24565112877021628,0.057508824834955015,-0.0012408568204495963,-0.005468440584339317,0.19046173119970797,46.96832872223694,3.8494735175927186,0.015102157067716828
2014Q1,800,800,50,0.021817897371714644,0.05899080811008299,0.24429782719336354,0.05485762113625246,-0.0012417502314592092,-0.005610406587541083,0.1781545278428353,46.33157921743621,3.835823785129442,0.016604855145066363
2014Q2,800,800,50,0.021889862327909886,0.063455363967261,0.24740094915299388,0.05933870738590123,-0.0012400559068969563,-0.005576948729931447,0.1906495769694441,46.17079795632492,3.832347519374203,0.013712214151214644
2014Q3,800,800,50,0.022215269086357948,0.061662046741501934,0.24488905204113265,0.05749912918109433,-0.0012370330987488156,-0.005605200726526901,0.17963997362681938,45.92119290790095,3.826926729633405,0.021293478846708708
2014Q4,800,800,50,0.021871088861076346,0.05819145142444849,0.2477745877307151,0.053952347995956745,-0.0012422713522910304,-0.0057017181112146,0.17116211868608364,46.025804630157175,3.8292022094249276,0.01735613442872312
