quarter,topic,count,total,share
2011Q1,14,6,409,0.014669926650366748
2011Q1,15,5,409,0.012224938875305624
2011Q1,16,25,409,0.061124694376528114
2011Q1,17,4,409,0.009779951100244499
2011Q1,18,36,409,0.08801955990220049
2011Q1,19,3,409,0.007334963325183374
2011Q1,20,8,409,0.019559902200488997
2011Q1,21,6,409,0.014669926650366748
2011Q1,22,5,409,0.012224938875305624
2011Q1,23,4,409,0.009779951100244499
2011Q1,24,2,409,0.004889975550122249
2011Q1,25,21,409,0.05134474327628362
2011Q1,26,9,409,0.022004889975550123
2011Q1,27,9,409,0.022004889975550123
2011Q1,28,5,409,0.012224938875305624
2011Q1,29,4,409,0.009779951100244499
2011Q1,30,1,409,0.0024449877750611247
2011Q1,31,2,409,0.004889975550122249
2011Q1,32,8,409,0.019559902200488997
2011Q1,33,1,409,0.0024449877750611247
2011Q1,34,7,409,0.017114914425427872
2011Q1,35,2,409,0.004889975550122249
2011Q1,36,2,409,0.004889975550122249
2011Q1,37,2,409,0.004889975550122249
2011Q1,38,6,409,0.014669926650366748
2011Q1,39,3,409,0.007334963325183374
2011Q1,40,1,409,0.0024449877750611247
2011Q1,41,3,409,0.007334963325183374
2011Q1,42,4,409,0.009779951100244499
2011Q1,43,1,409,0.0024449877750611247
2011Q1,44,3,409,0.007334963325183374
2011Q1,45,7,409,0.017114914425427872
2011Q1,46,2,409,0.004889975550122249
2011Q1,47,4,409,0.009779951100244499
2011Q1,48,10,409,0.02444987775061125
2011Q1,49,1,409,0.0024449877750611247
2011Q1,51,3,409,0.007334963325183374
2011Q1,52,2,409,0.004889975550122249
2011Q1,53,1,409,0.0024449877750611247
2011Q1,54,1,409,0.0024449877750611247
2011Q2,0,43,401,0.10723192019950124
2011Q2,1,3,401,0.007481296758104738
2011Q2,2,23,401,0.057356608478802994
2011Q2,3,18,401,0.04488778054862843
2011Q2,4,5,401,0.012468827930174564
2011Q2,5,14,401,0.034912718204488775
2011Q2,6,10,401,0.02493765586034913
2011Q2,7,8,401,0.0199501246882793
2011Q2,8,11,401,0.02743142144638404
2011Q2,9,11,401,0.02743142144638404
2011Q2,10,10,401,0.02493765586034913
2011Q2,11,7,401,0.017456359102244388
2011Q2,12,8,401,0.0199501246882793
2011Q2,13,7,401,0.017456359102244388
2011Q2,14,10,401,0.02493765586034913
2011Q2,15,9,401,0.022443890274314215
2011Q2,16,18,401,0.04488778054862843
2011Q2,17,5,401,0.012468827930174564
2011Q2,18,27,401,0.06733167082294264
2011Q2,19,4,401,0.00997506234413965
2011Q2,20,16,401,0.0399002493765586
2011Q2,21,7,401,0.017456359102244388
2011Q2,22,4,401,0.00997506234413965
2011Q2,23,4,401,0.00997506234413965
2011Q2,24,8,401,0.0199501246882793
2011Q2,25,11,401,0.02743142144638404
2011Q2,26,9,401,0.022443890274314215
2011Q2,27,1,401,0.0024937655860349127
2011Q2,28,6,401,0.014962593516209476
2011Q2,29,2,401,0.004987531172069825
2011Q2,31,10,401,0.02493765586034913
2011Q2,32,3,401,0.007481296758104738
2011Q2,33,6,401,0.014962593516209476
2011Q2,34,5,401,0.012468827930174564
2011Q2,35,2,401,0.004987531172069825
2011Q2,36,7,401,0.017456359102244388
2011Q2,38,5,401,0.012468827930174564
2011Q2,40,3,401,0.007481296758104738
2011Q2,41,2,401,0.004987531172069825
2011Q2,42,14,401,0.034912718204488775
2011Q2,43,2,401,0.004987531172069825
2011Q2,44,1,401,0.0024937655860349127
2011Q2,45,1,401,0.0024937655860349127
2011Q2,46,4,401,0.00997506234413965
2011Q2,48,5,401,0.012468827930174564
2011Q2,49,4,401,0.00997506234413965
2011Q2,50,2,401,0.004987531172069825
2011Q2,51,1,401,0.0024937655860349127
2011Q2,52,2,401,0.004987531172069825
2011Q2,53,1,401,0.0024937655860349127
2011Q2,54,1,401,0.0024937655860349127
2011Q2,55,1,401,0.0024937655860349127
2011Q3,0,54,418,0.1291866028708134
2011Q3,1,7,418,0.01674641148325359
2011Q3,2,24,418,0.05741626794258373
2011Q3,3,22,418,0.05263157894736842
2011Q3,4,7,418,0.01674641148325359
2011Q3,5,4,418,0.009569377990430622
2011Q3,6,9,418,0.0215311004784689
2011Q3,7,8,418,0.019138755980861243
2011Q3,8,9,418,0.0215311004784689
2011Q3,9,16,418,0.03827751196172249
2011Q3,10,7,418,0.01674641148325359
2011Q3,11,6,418,0.014354066985645933
2011Q3,12,6,418,0.014354066985645933
2011Q3,13,6,418,0.014354066985645933
2011Q3,14,6,418,0.014354066985645933
2011Q3,15,5,418,0.011961722488038277
2011Q3,16,21,418,0.050239234449760764
2011Q3,17,6,418,0.014354066985645933
2011Q3,18,36,418,0.0861244019138756
2011Q3,19,4,418,0.009569377990430622
2011Q3,20,12,418,0.028708133971291867
2011Q3,21,7,418,0.01674641148325359
2011Q3,22,7,418,0.01674641148325359
2011Q3,24,9,418,0.0215311004784689
2011Q3,25,23,418,0.05502392344497608
2011Q3,26,8,418,0.019138755980861243
2011Q3,27,11,418,0.02631578947368421
2011Q3,28,3,418,0.007177033492822967
2011Q3,29,4,418,0.009569377990430622
2011Q3,30,1,418,0.0023923444976076554
2011Q3,31,8,418,0.019138755980861243
2011Q3,32,6,418,0.014354066985645933
2011Q3,33,2,418,0.004784688995215311
2011Q3,34,2,418,0.004784688995215311
2011Q3,35,3,418,0.007177033492822967
2011Q3,36,2,418,0.004784688995215311
2011Q3,37,5,418,0.011961722488038277
2011Q3,38,5,418,0.011961722488038277
2011Q3,40,4,418,0.009569377990430622
2011Q3,41,4,418,0.009569377990430622
2011Q3,42,5,418,0.011961722488038277
2011Q3,43,3,418,0.007177033492822967
2011Q3,44,1,418,0.0023923444976076554
2011Q3,45,2,418,0.004784688995215311
2011Q3,46,3,418,0.007177033492822967
2011Q3,47,1,418,0.0023923444976076554
2011Q3,48,4,418,0.009569377990430622
2011Q3,49,1,418,0.0023923444976076554
2011Q3,50,2,418,0.004784688995215311
2011Q3,51,1,418,0.0023923444976076554
2011Q3,52,2,418,0.004784688995215311
2011Q3,53,1,418,0.0023923444976076554
2011Q3,54,3,418,0.007177033492822967
2011Q4,0,48,409,0.11735941320293398
2011Q4,1,3,409,0.007334963325183374
2011Q4,2,12,409,0.029339853300733496
2011Q4,3,7,409,0.017114914425427872
2011Q4,4,15,409,0.03667481662591687
2011Q4,5,8,409,0.019559902200488997
2011Q4,6,6,409,0.014669926650366748
2011Q4,7,10,409,0.02444987775061125
2011Q4,8,9,409,0.022004889975550123
2011Q4,9,13,409,0.03178484107579462
2011Q4,10,13,409,0.03178484107579462
2011Q4,11,9,409,0.022004889975550123
2011Q4,12,9,409,0.022004889975550123
2011Q4,13,7,409,0.017114914425427872
2011Q4,14,11,409,0.02689486552567237
2011Q4,15,8,409,0.019559902200488997
2011Q4,16,19,409,0.04645476772616137
2011Q4,17,9,409,0.022004889975550123
2011Q4,18,27,409,0.06601466992665037
2011Q4,19,5,409,0.012224938875305624
2011Q4,20,3,409,0.007334963325183374
2011Q4,21,4,409,0.009779951100244499
2011Q4,22,9,409,0.022004889975550123
2011Q4,23,5,409,0.012224938875305624
2011Q4,24,2,409,0.004889975550122249
2011Q4,25,16,409,0.039119804400977995
2011Q4,26,5,409,0.012224938875305624
2011Q4,27,3,409,0.007334963325183374
2011Q4,28,8,409,0.019559902200488997
2011Q4,29,4,409,0.009779951100244499
2011Q4,30,6,409,0.014669926650366748
2011Q4,31,7,409,0.017114914425427872
2011Q4,32,5,409,0.012224938875305624
2011Q4,33,9,409,0.022004889975550123
2011Q4,34,4,409,0.009779951100244499
2011Q4,35,5,409,0.012224938875305624
2011Q4,36,5,409,0.012224938875305624
2011Q4,37,8,409,0.019559902200488997
2011Q4,38,5,409,0.012224938875305624
2011Q4,39,1,409,0.0024449877750611247
2011Q4,40,5,409,0.012224938875305624
2011Q4,41,4,409,0.009779951100244499
2011Q4,42,8,409,0.019559902200488997
2011Q4,43,3,409,0.007334963325183374
2011Q4,44,1,409,0.0024449877750611247
2011Q4,46,6,409,0.014669926650366748
2011Q4,47,1,409,0.0024449877750611247
2011Q4,48,3,409,0.007334963325183374
2011Q4,49,3,409,0.007334963325183374
2011Q4,50,4,409,0.009779951100244499
2011Q4,51,3,409,0.007334963325183374
2011Q4,52,2,409,0.004889975550122249
2011Q4,53,1,409,0.0024449877750611247
2011Q4,54,3,409,0.007334963325183374
2012Q1,0,40,413,0.09685230024213075
2012Q1,1,10,413,0.024213075060532687
2012Q1,2,25,413,0.06053268765133172
2012Q1,3,6,413,0.014527845036319613
2012Q1,4,13,413,0.031476997578692496
2012Q1,5,10,413,0.024213075060532687
2012Q1,6,11,413,0.026634382566585957
2012Q1,7,10,413,0.024213075060532687
2012Q1,8,4,413,0.009685230024213076
2012Q1,9,14,413,0.03389830508474576
2012Q1,10,15,413,0.03631961259079903
2012Q1,11,8,413,0.01937046004842615
2012Q1,12,10,413,0.024213075060532687
2012Q1,13,14,413,0.03389830508474576
2012Q1,14,6,413,0.014527845036319613
2012Q1,15,2,413,0.004842615012106538
2012Q1,16,15,413,0.03631961259079903
2012Q1,17,5,413,0.012106537530266344
2012Q1,18,21,413,0.05084745762711865
2012Q1,19,2,413,0.004842615012106538
2012Q1,20,7,413,0.01694915254237288
2012Q1,21,4,413,0.009685230024213076
2012Q1,22,3,413,0.007263922518159807
2012Q1,23,3,413,0.007263922518159807
2012Q1,24,4,413,0.009685230024213076
2012Q1,25,19,413,0.04600484261501211
2012Q1,26,5,413,0.012106537530266344
2012Q1,27,11,413,0.026634382566585957
2012Q1,28,1,413,0.002421307506053269
2012Q1,29,1,413,0.002421307506053269
2012Q1,30,2,413,0.004842615012106538
2012Q1,31,8,413,0.01937046004842615
2012Q1,32,10,413,0.024213075060532687
2012Q1,33,4,413,0.009685230024213076
2012Q1,34,4,413,0.009685230024213076
2012Q1,35,8,413,0.01937046004842615
2012Q1,36,6,413,0.014527845036319613
2012Q1,37,2,413,0.004842615012106538
2012Q1,38,5,413,0.012106537530266344
2012Q1,39,6,413,0.014527845036319613
2012Q1,40,4,413,0.009685230024213076
2012Q1,41,4,413,0.009685230024213076
2012Q1,42,9,413,0.021791767554479417
2012Q1,43,3,413,0.007263922518159807
2012Q1,44,2,413,0.004842615012106538
2012Q1,45,2,413,0.004842615012106538
2012Q1,46,4,413,0.009685230024213076
2012Q1,47,5,413,0.012106537530266344
2012Q1,48,7,413,0.01694915254237288
2012Q1,49,2,413,0.004842615012106538
2012Q1,50,5,413,0.012106537530266344
2012Q1,51,1,413,0.002421307506053269
2012Q1,52,3,413,0.007263922518159807
2012Q1,53,5,413,0.012106537530266344
2012Q1,54,3,413,0.007263922518159807
2012Q2,0,47,389,0.12082262210796915
2012Q2,1,11,389,0.028277634961439587
2012Q2,2,30,389,0.07712082262210797
2012Q2,3,10,389,0.02570694087403599
2012Q2,4,7,389,0.017994858611825194
2012Q2,5,10,389,0.02570694087403599
2012Q2,6,10,389,0.02570694087403599
2012Q2,7,3,389,0.007712082262210797
2012Q2,8,8,389,0.02056555269922879
2012Q2,9,5,389,0.012853470437017995
2012Q2,10,9,389,0.02313624678663239
2012Q2,11,10,389,0.02570694087403599
2012Q2,12,17,389,0.043701799485861184
2012Q2,13,6,389,0.015424164524421594
2012Q2,14,13,389,0.033419023136246784
2012Q2,15,4,389,0.010282776349614395
2012Q2,16,17,389,0.043701799485861184
2012Q2,17,14,389,0.03598971722365039
