corpus,metric,n_quarters,pre_slope,pre_slope_p,level_jump,level_jump_p,slope_change,slope_change_p,post_slope,mk_tau_full,mk_p_full,mk_tau_post,mk_p_post,theil_slope_full,prepost_diff,prepost_diff_lo,prepost_diff_hi,prepost_p
Cross Validated,sem_pairwise_cosine,64,-0.00029804483474745564,0.0014211977792246337,0.006833332031775997,0.02087322349568961,0.001382679178299675,8.485999455588444e-32,0.0010846343435522193,-0.0029761904761904765,0.9722697347397922,0.7142857142857143,6.710364303783617e-05,-1.3472427223999537e-06,0.006974651567954411,0.003827963333668374,0.010049510859338343,0.0
Cross Validated,lc_sem_pairwise_cosine,64,-0.00021943232743350526,0.003973130417752182,0.006509940596101174,0.025363676813040845,0.0012814888638351992,6.298036576351124e-18,0.001062056536401694,0.07837301587301587,0.35998571663799017,0.7333333333333334,3.702856397962218e-05,5.785286077093675e-05,0.008458528165074877,0.00544840527187423,0.011367582125944015,0.0
