quarter,volume,n_sample,topic_entropy,doc_entropy,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
2010Q3,2199,800,3.602106521686987,1.7576957139525689,0.03435198576267115,0.03397574049365158,0.08131649668199263,0.025770671700725795,0.21756294970321244,0.02894265680740161,0.09745181255563687,0.10021284157288157,0.06617082730018743,0.03600431909499679,0.04303788721067708,0.10021320902638717,0.024255286043415106,0.05466379851906833,0.05606951752709469
2010Q4,1689,800,3.724696517275661,1.849546835224703,0.05444915920300614,0.028027963580473342,0.09590499749410367,0.028844251439721608,0.15234700620826885,0.03369424564669466,0.08557880019248584,0.09314639550143684,0.09063981049721763,0.04751371200810411,0.04258061437498701,0.10019510386654262,0.029578081789713516,0.0658142897946229,0.051685568402620785
2011Q1,1772,800,3.714154569445423,1.820618174400426,0.04904313442968989,0.03027474611895333,0.09646237534456366,0.03392790620722329,0.13397691959467456,0.03208347419247591,0.09120482190403595,0.09084870775799932,0.08637035647783592,0.04168870669684737,0.033317382900896274,0.11855618402196809,0.022581072736691663,0.08452719422967052,0.055137017386474224
2011Q2,1924,800,3.727740254407172,1.796021225855617,0.056080195256635504,0.03048324007292386,0.10308719350678888,0.0267800858745636,0.11343626611146064,0.03954809547108445,0.09912240504398681,0.08947889372658276,0.08501944950665238,0.039032163452472575,0.032692198019975645,0.12859210325955386,0.03015465682214399,0.07312853912426036,0.053364514750914714
2011Q3,2000,800,3.7239607980718294,1.8015527803023619,0.06704205878671363,0.028268328549319727,0.08260530767219786,0.0322709329262672,0.10810727499865086,0.037278959300621396,0.0857910938645927,0.09676742194870151,0.08433807405607494,0.03449383118611711,0.035001200904264215,0.14557468936998108,0.030737549951669954,0.08433485879498236,0.04738841768984565
2011Q4,2156,800,3.714389265808471,1.7844488793244264,0.05746055547450525,0.02586942782134345,0.09287361215690837,0.02986391282564376,0.11304588240755792,0.04550796930528585,0.09952925340585227,0.07650154612267396,0.09179254086943046,0.031835404445848724,0.037423724565064626,0.1442574710102865,0.02688820301328676,0.07424045496706018,0.052910041609251876
2012Q1,2549,800,3.747637805905377,1.7884691220005027,0.05313364609034365,0.02941489175776806,0.1029271014813257,0.03181596354601584,0.0925603952481849,0.03618821812686392,0.10257478541573761,0.1070258153570128,0.08278159065210605,0.031796336607418076,0.03663871656785861,0.11190573138966803,0.03395231105358931,0.07569866280907327,0.07158583389703421
2012Q2,2815,800,3.721158250843893,1.7872265480022442,0.045383637129962524,0.03387973910050609,0.11486519150874118,0.02974067466578132,0.10298253942508373,0.03734372000149321,0.09056471161881334,0.08090459690386495,0.07748643019319224,0.029814670679716916,0.046376684568551554,0.14277578139398595,0.028333101985726666,0.08271383036107567,0.0568346904635047
2012Q3,2781,800,3.7083417205964038,1.7218734996427651,0.0683966903232428,0.03410442012147734,0.11334635513625774,0.02624045077552013,0.09544703883311909,0.03680355846103891,0.0857772167545606,0.0748761050236793,0.07264098530767159,0.024392407579393306,0.03484255054231641,0.14077004429564155,0.031626470974763635,0.10781097049242161,0.05292473537889594
2012Q4,2746,800,3.745806727674646,1.7819854378108,0.05969741561429431,0.03550352698057675,0.09982789132333139,0.02638212342924738,0.09898495108793533,0.03327304976070067,0.09323820395510837,0.0845657909274244,0.09410483665869217,0.026391915149705417,0.04166757646707233,0.11522869324736203,0.03239647815663393,0.09068457068964163,0.06805297655227385
