quarter,volume,n_sample,n_lc,sem_pairwise_cosine,sem_centroid_variance,sem_eff_dim,lc_sem_pairwise_cosine,lc_sem_centroid_variance,lc_sem_eff_dim
2010Q3,2199,800,339,0.0815527700111404,0.9172991709513736,76.9135515213077,0.09222420770927175,0.9050979875937054,69.56435237474143
2010Q4,1689,800,372,0.07170088849821962,0.9271387376124032,83.8221277664674,0.08374789191809291,0.9137890647806116,74.86385094952485
2011Q1,1772,800,411,0.06709395898952064,0.9317399084592163,82.48497695786865,0.07520358574396524,0.9225463013259714,74.97330980467437
2011Q2,1924,800,393,0.07084136818315574,0.9279971835270732,82.80992920817621,0.07942879142126086,0.9182287882006762,72.47229732336685
2011Q3,2000,800,433,0.07382977577142662,0.9250125114482877,83.33223401782934,0.08303714981987233,0.9148451530665477,76.28422359533307
2011Q4,2156,800,419,0.06261334509402898,0.9362149215873385,83.7568927749643,0.07339304639932588,0.9243954811577131,75.91142830152299
2012Q1,2549,800,429,0.06688162992558622,0.9319519721118208,81.87256374172523,0.07645719453300878,0.9213900250346673,75.43037170668332
2012Q2,2815,800,456,0.06286088234759175,0.9359676937553427,81.6521108799179,0.07473964007123671,0.9232312801920775,74.54243169035345
2012Q3,2781,800,471,0.06545347755572799,0.9333783392912167,80.2909696386454,0.07614222869603897,0.9218962898362244,74.71558726764447
2012Q4,2746,800,403,0.06233962207915412,0.9364883024484448,82.69034144812505,0.07082284663066114,0.9268715028647003,74.11757308467793
2013Q1,2806,800,429,0.06305431490667347,0.9357745029869599,82.28517197217626,0.07556900651243645,0.9222761426868933,74.32536315697799
2013Q2,3258,800,455,0.06742360333413785,0.9314106761700298,81.03281229034006,0.07949845126212769,0.9184784684109759,74.14737631029114
2013Q3,3382,800,445,0.06379709839352726,0.9350326479794646,83.6546731537804,0.07442619207340719,0.9234938667851847,78.04747226911132
2013Q4,3264,800,460,0.06236496059833923,0.9364629956024086,80.3725583117263,0.0712728885550221,0.9267081394635758,76.58111702447668
2014Q1,3893,800,438,0.05898662833158848,0.939837104953826,82.6031259797589,0.07075362467422205,0.9271248082588242,75.18703615641107
2014Q2,4259,800,477,0.0594160829309754,0.9394081871726883,81.10533071916687,0.07305515263507695,0.9250015667624809,74.82810022259818
2014Q3,4216,800,448,0.06188098880590832,0.9369463624300991,82.84216093266205,0.0695768645421784,0.928346298101889,76.58688452301853
2014Q4,4135,800,454,0.0578067614173774,0.9410154970343944,82.74783936136164,0.06869764362617946,0.9292510295976667,76.3670749895965
2015Q1,4304,800,479,0.060648523884720064,0.9381772867701358,81.64085056082449,0.07161487888553746,0.9264469475839522,75.56464980297561
2015Q2,4616,800,425,0.058732066731556044,0.9400913483518584,81.89981507527725,0.06999255686054177,0.9278191903320713,74.87519930105641
2015Q3,4713,800,476,0.0580582704877113,0.9407643023503983,81.64768714704825,0.06984935893354417,0.9281965430810221,78.03434589446533
2015Q4,4523,800,449,0.052786483455515266,0.9460294996488041,82.98258806880942,0.06340634093286594,0.9345077043698798,75.94652369675535
2016Q1,4629,800,439,0.055508238187937396,0.9433111471097976,83.12148236539225,0.06885166121135396,0.9290272719576924,76.7259270173451
2016Q2,4900,800,441,0.05238815240056127,0.9464273327899394,82.00306679911068,0.06422495530038592,0.9336531058227442,75.98200221115438
2016Q3,5041,800,449,0.05616377542292877,0.9426564292963499,80.65492007157296,0.06532298718024275,0.9325953268223859,74.00770616929967
2016Q4,5161,800,435,0.05243352113544433,0.946382020765975,80.25714337616053,0.06575503949141175,0.9320972709442007,73.34070640960363
2017Q1,5330,800,440,0.054539028861312594,0.9442791449247641,82.82893281052057,0.06469511712338533,0.933179189960986,77.77799047313113
2017Q2,5245,800,445,0.05703367646917565,0.9417876156264108,81.08038819793597,0.06946743700350665,0.9284414785852653,74.8175914125799
2017Q3,4987,800,459,0.05504894804646015,0.9437698631385979,82.4249369473513,0.06624851149268599,0.9317171715388884,76.03410402628943
2017Q4,4714,800,475,0.05208299703779418,0.946732106708503,80.986748195098,0.06423970581061586,0.9337902725174065,74.97297871771599
2018Q1,5000,800,423,0.050882846230235125,0.9479307573275527,85.17342010286647,0.0639672252463531,0.933819931314513,75.13868210243771
2018Q2,4842,800,475,0.054566677548279596,0.9442515307986558,82.82586807617406,0.06344196945295963,0.9345863294300992,76.31923660890739
2018Q3,5032,800,471,0.05367140634179462,0.9451456829161327,80.53152276125402,0.06291570442847312,0.9350947323112901,74.04810004780059
2018Q4,4676,800,461,0.05340579271897854,0.9454109645219202,82.40788192195387,0.06700801973544313,0.9309681364895795,74.76930308522367
2019Q1,5032,800,430,0.0541313158201987,0.9446863483245765,80.54956945060724,0.06791895025735259,0.9299134193944087,72.95943220158524
2019Q2,4846,800,446,0.05535151361164692,0.9434676757803676,83.49981949532786,0.0666741526975723,0.9312331884519738,74.9037360157697
2019Q3,4464,800,466,0.05501718034591478,0.9438015911295177,82.16108962683211,0.06691751136455923,0.9310801656984549,76.54416254078646
2019Q4,4368,800,456,0.05297899796894359,0.9458372257785176,83.60307453574278,0.06707428720690478,0.9308798230720577,74.69961754431615
2020Q1,4354,800,432,0.05487452887117986,0.9439440642899091,82.68285771548759,0.06655914985083673,0.9312801074404846,74.5519404038945
2020Q2,5369,800,481,0.0536247297461331,0.9451923011660496,80.33851670615313,0.06798251372518037,0.930079819983188,74.40447636465679
2020Q3,4694,800,515,0.056666899014011035,0.9421539346097565,82.33856396780904,0.06969763698195264,0.9284959506626725,76.65306468527861
2020Q4,4120,800,475,0.05761541794574259,0.9412066013266895,81.67584807679242,0.07179540217975294,0.9262504828774676,74.32275244432526
2021Q1,4032,800,471,0.05389557013497659,0.9449217993276922,83.54941550613735,0.064928569075408,0.9330861412623317,77.07927700793805
2021Q2,3953,800,490,0.057209330401300544,0.9416121812617011,82.62832211063359,0.06970907770654268,0.9283923693908176,75.27908612465556
2021Q3,3453,800,502,0.0554809707983901,0.9433383804151079,81.52441031829011,0.06637126243137005,0.931768919366302,75.04096322059723
2021Q4,3653,800,499,0.06253878844672643,0.936289385038832,81.96355088482571,0.07833134341549938,0.9198216252085798,75.39439014836499
2022Q1,3475,800,523,0.06069000399228777,0.9381358585127026,79.11668919023218,0.07218860264780602,0.9260373793840253,75.07245281515387
2022Q2,3216,800,533,0.05768187773533663,0.9411402246118326,81.21186567043978,0.06830685723795378,0.9299451256086465,76.52433455488281
2022Q3,3257,800,500,0.05987732959705964,0.9389475170649367,84.40167059048973,0.07065459283071442,0.9274867163549471,78.17232542666561
2022Q4,3079,800,502,0.0587605839423894,0.9400628667875386,82.85679283841107,0.0706037317996515,0.9275448812119016,77.9332592287194
2023Q1,3199,800,527,0.060243986635709706,0.938581318347585,81.56136666219054,0.07192547991174868,0.92631346786797,77.25390558275879
2023Q2,2718,800,545,0.05713730682209868,0.941684114811429,82.04563417815858,0.0712366123319549,0.9270592346631497,76.87935726271004
2023Q3,2373,800,520,0.061881133059149315,0.9369462183571746,81.4153432818769,0.07336756710342059,0.9248504474487014,79.60326531952448
2023Q4,2653,800,538,0.06443890126721807,0.934391647359366,83.89702164773163,0.07604431461794803,0.9222382956322712,80.04072316538016
2024Q1,2489,800,545,0.06950141664930805,0.9293354601215036,82.68723027623768,0.08441233240315704,0.9139076902251057,78.15364894246692
2024Q2,2246,800,570,0.06649811870506184,0.9323350039433195,83.46179419030578,0.07598423656854132,0.9223946831447368,80.13036616279537
2024Q3,1827,800,579,0.07052687868193536,0.928311279916417,83.03464234855473,0.08330650896319403,0.9151102553009911,80.09288001772781
2024Q4,1654,800,565,0.06426489728057828,0.9345654338410224,84.47717878429627,0.0767052990299477,0.921660551056831,81.4225459121902
2025Q1,1513,800,622,0.06896938028797056,0.9298668314373895,81.1217465812146,0.08072174215571855,0.9178003185229884,78.53892597897449
2025Q2,1054,800,594,0.0712734549694968,0.9275656368492151,85.00947076039898,0.08208616867895124,0.9163685218407103,82.11097192349233
2025Q3,890,800,632,0.07331607390995937,0.9255255711824281,83.92843686043496,0.0827209358542298,0.915827673221489,80.45530280373656
2025Q4,756,756,566,0.06994199328221583,0.9288277712591628,80.40700777632132,0.08244494897489592,0.9159339290268265,77.29528163399132
2026Q1,656,656,505,0.06956004882625534,0.9290215975896383,83.18740799762432,0.08106193361695604,0.9171183870436715,79.18403774900322
