quarter,volume,n_sample,n_lc,mean_len,mean_mtld,mean_ttr,mean_yule_k,mean_yule_i,mean_hdd,mean_mattr,mean_pairwise_cosine,lc_mtld,lc_ttr,lc_yule_k,lc_yule_i,lc_hdd,lc_mattr,lc_pairwise_cosine
2010Q3,2199,1000,413,113.405,77.82933614274816,0.7258665013906479,120.16474498620585,99.97402305786785,0.8177822838018524,0.8181539944960302,0.017321797982351943,78.52142644785954,0.6800726392251816,132.49878934624698,88.53641468256652,0.813781433002824,0.783312918387694,0.020694416301736428
2010Q4,1689,1000,473,138.532,80.3630506480479,0.7053016448370558,119.22969689371858,102.17821431429158,0.8224394092320804,0.8150864786575942,0.018847149857263417,78.25234992812763,0.682198731501057,132.14799154334037,88.31667480617554,0.8151471101387114,0.7819922895162295,0.01880713358300505
2011Q1,1772,1000,504,147.392,76.73580341790012,0.6828739845817746,124.1239681038958,93.17115123340243,0.8194445338929626,0.8026278975831046,0.021249090320224165,75.02867726116457,0.6733928571428571,138.48809523809524,83.81262042994535,0.8084706506881701,0.7751758481170246,0.019984667638160213
2011Q2,1924,1000,494,138.777,74.41439711638434,0.6845175550435386,125.40877746190459,93.54330847763238,0.8136179418015526,0.8016509936501618,0.021289532423940296,73.17367769403147,0.6706882591093116,138.33198380566802,82.57928621334813,0.807424801351476,0.7771318567912995,0.021439864248480725
2011Q3,2000,1000,532,147.229,75.20552455902632,0.6783398218934809,127.6361073658214,95.16521498212126,0.8157731520307223,0.8010023706421359,0.021788482665717004,73.14755679368874,0.6689473684210526,142.84586466165413,82.14840923498215,0.8050007073584521,0.7721900339083002,0.021582762307665287
2011Q4,2156,1000,516,144.527,73.23393002279745,0.673164200442934,130.01473621666744,92.62620559617615,0.8101722040233346,0.7958901110050968,0.021070598677683416,71.95995782575925,0.6651744186046512,144.10852713178295,82.24618045014279,0.8031480515353953,0.7726265389876881,0.020518641702041904
2012Q1,2549,1000,529,146.86,77.63788646839863,0.6770317757434,123.0422465112193,96.41583505966439,0.8196660126376375,0.8033419059971889,0.021893993972795303,77.21701429985967,0.6774669187145558,131.70132325141776,88.01348059552414,0.8133156620945977,0.783356684828941,0.020697414943118456
2012Q2,2815,1000,554,154.251,72.44711148177646,0.6571379956540652,135.40606002231246,89.03711995128992,0.8098894257814796,0.7882450544769687,0.022951199061837707,71.84804515108897,0.667942238267148,141.16606498194946,81.07892172597593,0.8048869867294138,0.7723401996177532,0.02157083181112494
2012Q3,2781,1000,595,156.863,72.43723050967239,0.6490965554113095,137.47876459049434,89.24756288952298,0.8088710726851371,0.7856933986162141,0.02427404501430379,71.55888049308581,0.6656806722689076,144.23865546218488,80.48358330843513,0.8033295429073688,0.770104465315538,0.022175619782040017
2012Q4,2746,1000,529,136.119,75.11180040581694,0.6778842020516079,131.43430244066798,90.83632860191496,0.8133625694244523,0.7952272244163687,0.021796757615046312,73.32105577169469,0.6688846880907373,141.9962192816635,82.53261334704598,0.8053370491446391,0.775980577486193,0.02121472118171138
2013Q1,2806,1000,537,155.026,72.26698300323243,0.6607704796763655,133.997984837834,88.45559752435204,0.8102380243854811,0.7879439160001626,0.022704880405287595,73.53332650982576,0.6694040968342645,141.48975791433892,83.72520350693212,0.8056750935342645,0.7774915105707088,0.021140262472316346
2013Q2,3258,1000,564,155.948,73.70892650255071,0.6558964594193656,136.46130929112084,90.43966533164587,0.8128827006061775,0.7894201657338459,0.024032195906880775,73.13904418343759,0.6685283687943263,140.6418439716312,82.99545455674888,0.8061792887453927,0.7741357252120706,0.02349444218847012
2013Q3,3382,1000,552,155.928,71.80976084531372,0.653570177345181,139.31779082621657,87.24323457068779,0.8089712825900336,0.7855521351683838,0.023222733394409792,70.59103899243708,0.6608695652173913,146.39492753623188,79.77030174692536,0.8001935848121182,0.7683191247513499,0.02105355512621574
2013Q4,3264,1000,588,169.692,71.97059860877863,0.6447910858562952,137.57773522066074,88.7579732731703,0.8098061591540544,0.7865334740890214,0.024687091957759866,71.23113727071565,0.6629421768707483,147.58163265306123,81.20301585996673,0.8011587412825842,0.7683466720021342,0.02139548097209248
2014Q1,3893,1000,601,162.977,69.97419255945005,0.6383867188590236,142.69809728904616,85.00038937440893,0.8053143558138772,0.781289917519963,0.024163686417519772,69.96909837747329,0.661630615640599,150.8386023294509,77.61938922070355,0.7994291790895217,0.7682046262764675,0.021759698923131246
