corpus,metric,n_quarters,pre_slope,slope_change,slope_change_p,post_slope,mk_tau_post,mk_p_post,prepost_diff,prepost_p
Cross Validated,overall_cosine,64,-0.0003131810494049358,0.0015377068862243554,1.5126689543468516e-26,0.0012245258368194195,0.7333333333333334,3.702856397962218e-05,0.007292371181199554,0.0
Cross Validated,within_cosine,64,-0.00022472255283081193,0.0006972464763292477,0.00325618319424795,0.0004725239234984358,0.2571428571428572,0.20184282422518202,0.0032577718277786993,0.0375
Cross Validated,between_cosine,64,-0.00029723531852367556,0.001536561652075323,3.565987910044074e-26,0.0012393263335516475,0.7142857142857143,6.710364303783617e-05,0.00735740521759351,0.0
Cross Validated,eff_topics,64,0.0671340224270878,-0.13343166586591038,0.025593507629036068,-0.06629764343882258,-0.21904761904761905,0.2815660702955676,-0.7170929284859398,0.9608
Cross Validated,comp_jsd,64,-0.0005442356110067368,0.0018073734665128164,0.00044141528101241707,0.0012631378555060797,0.4666666666666667,0.015510823225067603,0.01682787858334972,0.0
Cross Validated,between_centroid_cosine,64,-0.0002926551654070606,0.002006009855760103,7.574550080686011e-07,0.0017133546903530424,0.5428571428571429,0.00414288160001619,0.010413844453245558,0.0001
Cross Validated,mc_between_cosine,64,1.3003018685584978e-05,-2.033171078786868e-05,0.3597080878489286,-7.328692102283702e-06,-0.18095238095238098,0.3794503959627968,4.2958275161776235e-05,0.353
