quarter,n_answers,n_questions,ai_match_cosine,ai_mismatch_cosine,match_minus_mismatch
2014Q4,25,23,0.5560126651630016,0.13958056155767384,0.4164321036053278
2015Q1,25,23,0.5950086681365614,0.15758790844521817,0.43742075969134325
2015Q2,25,25,0.5910929536692446,0.11282004686128363,0.478272906807961
2015Q3,24,24,0.5972717517467369,0.10607483290905802,0.49119691883767874
2015Q4,25,24,0.6063847368579068,0.14480033270743603,0.4615844041504708
2016Q1,24,24,0.5840671525004529,0.15306460200933827,0.43100255049111463
2016Q2,24,24,0.6527395070998555,0.1627955337958128,0.48994397330404266
2016Q3,24,24,0.5743768968790819,0.14715713049770116,0.42721976638138076
2016Q4,25,25,0.567380515855182,0.11511960039678686,0.45226091545839514
2017Q1,25,25,0.5758689534503945,0.1673539904010115,0.40851496304938295
2017Q2,25,25,0.6321692780560694,0.11418621252050984,0.5179830655355595
2017Q3,25,24,0.5524931360548507,0.13475143537050918,0.4177417006843416
2017Q4,25,25,0.5554522910521574,0.16240884002669706,0.39304345102546034
2018Q1,25,25,0.5947125355518654,0.16193794506335701,0.4327745904885084
2018Q2,25,24,0.5495450314124917,0.11587342378910623,0.4336716076233854
2018Q3,25,25,0.5920649259105913,0.12447349780438638,0.46759142810620496
2018Q4,25,25,0.645327871604163,0.1641037061070016,0.4812241654971614
2019Q1,25,25,0.597916367958905,0.130141473256673,0.467774894702232
2019Q2,25,25,0.5749270008392271,0.14387561435503934,0.43105138648418767
2019Q3,25,25,0.6078266905714802,0.15750703427287577,0.4503196562986045
2019Q4,25,24,0.5846121313622853,0.12762952494080404,0.4569826064214812
2020Q1,24,23,0.6361192245331688,0.1593916128543212,0.47672761167884764
2020Q2,25,25,0.5460033427076604,0.16841085400366798,0.3775924887039925
2020Q3,23,23,0.5926180134237128,0.14185234618540846,0.4507656672383043
2020Q4,25,24,0.6194006176373851,0.14478046817760085,0.47462014945978437
2021Q1,24,24,0.56090776103401,0.14719813942620896,0.41370962160780106
2021Q2,25,25,0.6036210005946604,0.13452610910536206,0.46909489148929845
2021Q3,25,25,0.5721204977494293,0.14477235459091833,0.42734814315851083
2021Q4,25,25,0.5595859518575161,0.11915736574186866,0.44042858611564756
2022Q1,23,23,0.5565018030924622,0.10965925590107037,0.4468425471913918
2022Q2,24,24,0.6140816552149776,0.0893631372338738,0.5247185179811039
2022Q3,25,23,0.5409553818357341,0.12214760347977942,0.41880777835595473
2022Q4,25,25,0.5606848021367268,0.15747673697956657,0.40320806515716023
2023Q1,25,25,0.6458806389896742,0.14842375344855738,0.4974568855411168
2023Q2,25,23,0.5502024827183883,0.13892490026246615,0.41127758245592216
2023Q3,25,25,0.5818532055926539,0.11313827229226345,0.46871493330039044
2023Q4,25,25,0.5889800358592227,0.13832416440076545,0.4506558714584572
2024Q1,25,25,0.6020036432330558,0.1420482048735729,0.459955438359483
2024Q2,23,22,0.6226093675671062,0.18249432893381465,0.4401150386332916
2024Q3,25,24,0.5800051741209314,0.1052672573632551,0.47473791675767635
2024Q4,25,22,0.5852635800881241,0.09314871682785712,0.49211486326026693
2025Q1,25,25,0.6214167638612944,0.10296489675506855,0.5184518671062258
2025Q2,25,23,0.6006671815375997,0.1581641013468257,0.4425030801907741
2025Q3,23,23,0.6136249218629413,0.11466911935953207,0.4989558025034092
2025Q4,25,24,0.6524345140816865,0.12290290702552585,0.5295316070561608
2026Q1,25,24,0.6263354967421229,0.11824619449586118,0.5080893022462617
2026Q2,24,24,0.621962439264891,0.14440603243166245,0.4775564068332286
