quarter,n,overall_cosine,within_topic_cosine,overall_cosine_lo,overall_cosine_hi,within_topic_cosine_lo,within_topic_cosine_hi
2014Q4,472,0.1587893867920144,0.32211528229062586,0.15018430554616746,0.16814709227522753,0.3068832313329411,0.33894914908859497
2015Q1,537,0.1338770175567622,0.3083769693617132,0.1260168909834827,0.14236567027742822,0.28809170094988584,0.32694752916533887
2015Q2,707,0.13997018798933578,0.3204098216713732,0.13300874898081122,0.14735194988978312,0.30622207075277297,0.3336664750425813
2015Q3,550,0.12389605923036782,0.3050568003380449,0.11527783426876581,0.13246897725724507,0.28858207092145716,0.32116866373238756
2015Q4,709,0.14498057985437957,0.3322170326360321,0.13759521926384455,0.1523812807060017,0.3174840432927117,0.3470332798319376
2016Q1,552,0.13433822754699404,0.30104230110292646,0.12627298442928034,0.14240865868143576,0.28399809692138867,0.31908050540293187
2016Q2,474,0.1333191111838969,0.32648303098637643,0.12460976504290583,0.1415217690891063,0.3086281828708482,0.3448055111098238
2016Q3,423,0.13998990121458443,0.3101665807756756,0.1295736659885991,0.15024140388542084,0.2928266883335894,0.33007102633975594
2016Q4,502,0.13647619497204252,0.315645654002035,0.1267078738947149,0.14452627440354524,0.29962115994994526,0.33331052030344765
2017Q1,504,0.14256190547339065,0.3295237835498703,0.13419924171832456,0.15093186586571858,0.3127113318735349,0.3459303396123806
2017Q2,572,0.13035940329208687,0.31422906357952257,0.12238993932473488,0.1390900222163382,0.2995556297199051,0.3298274651050545
2017Q3,541,0.13338911379317797,0.3058801397927979,0.12649347956901086,0.14094424823280646,0.28984881348198643,0.32066605465175996
2017Q4,513,0.12724429981755978,0.29667983551813765,0.11965397720478564,0.13524859863546454,0.28039082549003386,0.31351674942807084
2018Q1,527,0.13880833134456994,0.29923818519949547,0.13076410798911633,0.14729249376321174,0.2800030006819682,0.31894260563002064
2018Q2,566,0.1387230847253436,0.31674990337875475,0.13085908676794827,0.14652169052804387,0.30094803083475874,0.33283560774687176
2018Q3,457,0.13522382294131088,0.32591737782287356,0.12495307946558873,0.14495009683191354,0.307086778084059,0.3447451183180671
2018Q4,526,0.14121211355301405,0.324838753654174,0.13238279340630899,0.1498021014514669,0.30933722952822895,0.3401246704361696
2019Q1,471,0.12755111213962006,0.3066244177496789,0.12007441937810616,0.13541956057175766,0.28946103159509035,0.3278197299404905
2019Q2,570,0.13500286558571464,0.3127590112664662,0.1275849256162894,0.1425124557899979,0.29599291300203145,0.32816847478896727
2019Q3,405,0.14408985350369669,0.33182895319709654,0.1346637985228831,0.15287111667765949,0.3133744918806543,0.35122899212159087
2019Q4,523,0.12886096347837622,0.29784810921733285,0.11987758978104215,0.13830660182642354,0.28105403660263045,0.3148675727680711
2020Q1,496,0.12406183774604942,0.32337766983625327,0.11626482181018333,0.13287091098738327,0.30834451497679555,0.3397927770566508
2020Q2,698,0.12945981409938784,0.2975662682716518,0.12239698037879561,0.13695531719730508,0.2843775899907627,0.31178869563364486
2020Q3,600,0.1320033819756074,0.3224829060100913,0.12472406940965276,0.1392792243246782,0.3064124103063855,0.339651493168273
2020Q4,690,0.13732470406957004,0.2960418527741082,0.12989861366933117,0.14488484262438478,0.28074332675342706,0.310564348608831
2021Q1,517,0.12709086696833707,0.29381261762846017,0.11891581397169179,0.1349537686826477,0.27745172365450765,0.3111713696486603
2021Q2,474,0.12471167709614323,0.2977697494345606,0.11682641429303474,0.1328544109751808,0.27904769813719976,0.3166482196155837
2021Q3,444,0.11247234019148089,0.2804407707651513,0.10470780754324872,0.12085051393197906,0.26400327076858005,0.2961629572733051
2021Q4,399,0.12246177929356014,0.29973058943681424,0.11348638568499708,0.13242888992852617,0.2819762516998122,0.31974065307449406
2022Q1,414,0.12021943869172912,0.30562783357701767,0.11120618954148857,0.12878739279601503,0.2858483268930853,0.3271065692475746
2022Q2,369,0.12260901603998191,0.3273851252395633,0.11419766089654283,0.13159715719059145,0.30657799155728144,0.348408991364311
2022Q3,355,0.11860213921825927,0.2964536632673845,0.10998958615339331,0.1282909604143175,0.2765793162972255,0.3158504543022316
2022Q4,438,0.12945029082651097,0.3150591654175755,0.1205787943732089,0.1391611837387422,0.2950765275926166,0.3357326056489163
2023Q1,371,0.13856659143209904,0.3630540534355689,0.12822938737363895,0.15008824453466602,0.34433802580208905,0.38313604443715976
2023Q2,333,0.13240182286063243,0.3303043100498632,0.121212269386107,0.1436273868965093,0.30843330703473715,0.3550330987056872
2023Q3,343,0.1362662046356086,0.34053362845234697,0.12492659577357514,0.14782006275684656,0.3166517232022188,0.3643309524360491
2023Q4,289,0.13537327894197704,0.3471122301234372,0.12281482041421636,0.14662821423777897,0.3249554552252343,0.3696085278391798
2024Q1,275,0.13088401093983745,0.273313753331236,0.11833659119005871,0.14388213351192677,0.2528744142477093,0.2977460378269548
2024Q2,304,0.1260394767355057,0.32283470151872284,0.11509087869975626,0.1366246250414889,0.3013878074156075,0.34489141395148265
2024Q3,202,0.14922047827229065,0.3480134333793591,0.1332419948867011,0.16495244730405104,0.317651693289924,0.3777501718019532
2024Q4,198,0.14676967918868936,0.37958107615157843,0.13273457547508405,0.16041074403901126,0.3444409977706575,0.4181733823771466
2025Q1,195,0.13597499952288924,0.32951368616853305,0.12223542939108743,0.15131609748977715,0.3037329790256059,0.35558028989988333
2025Q2,142,0.12662440125990418,0.326377688471564,0.11152314319003791,0.14261080074736188,0.29981487119885636,0.3531963629463983
2025Q3,99,0.14319750349239577,0.3997099622239619,0.127805685755382,0.15912896110682467,0.3591578712932399,0.44466757584657884
2025Q4,60,0.1257584227937123,0.2948353299358506,0.09996714209717596,0.15435100469506427,0.2523617138632063,0.36371440351342416
2026Q1,54,0.18075604731771988,0.4159815641605679,0.14684605250212493,0.21964438441807665,0.38012884129665003,0.47685118379474173
2026Q2,38,0.15898743802767393,0.26964351531843694,0.12504566363727954,0.19530797871853733,0.2468745879255923,0.32813519856552376
