quarter,n,overall_cosine,within_topic_cosine,overall_cosine_lo,overall_cosine_hi,within_topic_cosine_lo,within_topic_cosine_hi
2014Q4,362,0.17549548972723172,0.3294795628546203,0.16486019297762364,0.18579007541790085,0.3123590021260084,0.346870574078344
2015Q1,372,0.14989647780337836,0.30595128718616493,0.14014987783581082,0.15974677647148772,0.2855636066068548,0.32928893775899376
2015Q2,438,0.15787638806211432,0.33488112982370666,0.14878462549789118,0.1672193287625826,0.31911429274849484,0.35211007149677676
2015Q3,379,0.1450769012381786,0.31717823838998277,0.1347675186193273,0.15476721915604208,0.29949164446354404,0.3355863824438764
2015Q4,488,0.16684300643807132,0.36074472048171585,0.15827881095640464,0.1756157329215551,0.34431227845951917,0.37763493186498054
2016Q1,367,0.15816153753354634,0.31171121868219887,0.14908801908309902,0.16797405607932694,0.2931983025802884,0.3315508265790294
2016Q2,337,0.14478302019643444,0.3313730449838137,0.1351925258475015,0.15417663977478868,0.3103916861184779,0.35353761955331536
2016Q3,252,0.1739741492821827,0.35717532619055553,0.1617553480658735,0.18654567788913098,0.3345081364380543,0.37880049533444177
2016Q4,319,0.16280365786530226,0.3360932089199193,0.15139852963873657,0.17421521894842326,0.3120576664269375,0.3631956833541412
2017Q1,327,0.15702232164411792,0.3412972476859436,0.1457929836598677,0.16863319165942728,0.32245089211378125,0.3621435553907581
2017Q2,394,0.15432875527389528,0.3303719120704547,0.14424209219925918,0.1645271026730564,0.31370329760096594,0.34928969216286987
2017Q3,377,0.1536331217713976,0.3254155692417251,0.14469120054062323,0.16185964520332222,0.3095065718264436,0.3418227700075952
2017Q4,298,0.14905711759044715,0.31762500640573527,0.139512006868577,0.15951566737380685,0.2958347428040831,0.34090532770490034
2018Q1,364,0.15323807119101795,0.31504990823762724,0.14304047432120778,0.16302913844023478,0.29553500329407756,0.3345125961045336
2018Q2,369,0.15348692951723197,0.3290450786244793,0.14480259384544553,0.16244268808209203,0.30883786317111706,0.3493869818491769
2018Q3,309,0.15640154935245018,0.3376880017406106,0.1460796763600551,0.16750020731212414,0.31750752903514,0.3616481828611402
2018Q4,309,0.16254095663531243,0.34194381729881534,0.1509807258995942,0.17374704045046208,0.32294950223084107,0.36320056800788764
2019Q1,272,0.1518243343729033,0.32642696361542606,0.14177071882398234,0.16177097402090201,0.3051784390466496,0.3485390470497105
2019Q2,374,0.14950561690731154,0.3349810233084456,0.14096221062318545,0.15862926103304725,0.315457308991838,0.35578370194793657
2019Q3,246,0.16579309501625691,0.3506229651707845,0.1539380311008499,0.17695099965859404,0.32840503865350634,0.37146307764447783
2019Q4,308,0.15030280728996886,0.3103893606787878,0.14057240948956254,0.1609123491160244,0.28983148990230645,0.3313386685246088
2020Q1,345,0.14420511791852147,0.34525191945991507,0.1346528779710374,0.1539935097345013,0.32457992740990643,0.36498511436063064
2020Q2,485,0.14581155867213563,0.30815655282108256,0.13701342709820785,0.1548974823014322,0.29218487240660573,0.32438380470081213
2020Q3,414,0.15567369562164585,0.33762501232103853,0.14712677263835175,0.1641011108230923,0.31631793535087155,0.3583279183862549
2020Q4,496,0.1574983490316636,0.3096294851923496,0.14966032741495758,0.1665140308976739,0.29233039233069313,0.32852641976232577
2021Q1,352,0.1455365999962409,0.30219470837216295,0.13706463852344536,0.15527165287057154,0.2810134719563152,0.32340313647216257
2021Q2,322,0.141446725447266,0.30329643394041117,0.13104880231895624,0.1512477823973902,0.2827821693450893,0.3253001481193232
2021Q3,312,0.13020460522395724,0.30165996816408386,0.12096222983132812,0.14016441556083678,0.284658649552736,0.3203807370624469
2021Q4,246,0.1520245985882546,0.32197469737925266,0.1415972132479446,0.16349039034169013,0.300666121140568,0.3440559448096902
2022Q1,277,0.1428845199805977,0.32464954123746903,0.13242503246760362,0.15323710568965668,0.298150315893659,0.3522340911206889
2022Q2,218,0.14021407418320392,0.34447574958572763,0.1282853937761781,0.1525856381462782,0.319820060959029,0.3676039407695168
2022Q3,236,0.142527782547943,0.3087573569478506,0.13194113561098464,0.15389891580177945,0.2861897120173864,0.33420556616340474
2022Q4,281,0.14975034392753941,0.32710284221583297,0.1373536612377704,0.16161658500017154,0.30338800093786805,0.3524854348770602
2023Q1,244,0.15395283064680854,0.3604718549061861,0.1421077139876759,0.16683375918870078,0.33930023385822683,0.38399103199690665
2023Q2,213,0.151034404901106,0.3224933134764866,0.13895876503800836,0.1655280678641053,0.294453784160538,0.3498630181497162
2023Q3,228,0.1546793382964115,0.33929770572887735,0.1427685841803929,0.16718816730744673,0.3102607306073973,0.3669009994472215
2023Q4,156,0.1538709604838041,0.35037684949213005,0.13831913457520878,0.17013692539113057,0.32382803064369675,0.3819062654202917
2024Q1,166,0.15475438375797984,0.2862821505334985,0.14074729672378855,0.17204766990244078,0.2620149170999876,0.31377114548480045
2024Q2,168,0.1530374946464335,0.35240689660447067,0.13829364507808822,0.16814098860906246,0.325571349219479,0.3806629949015469
2024Q3,114,0.18788381209210764,0.3433182783345129,0.1684924569410728,0.2098768670663618,0.30563762530476923,0.3860307143046084
2024Q4,132,0.1765021046691531,0.38813847958429565,0.15666982714382907,0.19540386309217161,0.3542952194653484,0.4281955778913476
2025Q1,128,0.1570472853244814,0.3146889219022031,0.1404403182263147,0.17344743839022916,0.2830073397414814,0.3492666964142085
2025Q2,113,0.14260038901448227,0.3311955415674716,0.1262628564335803,0.15847103742699717,0.3014361445538958,0.36108252986202044
2025Q3,77,0.1564621633499548,0.3942288345832249,0.1383009706283662,0.17562352295269115,0.3416338994495745,0.444761363186282
2025Q4,42,0.1632588371024481,0.3045265443337189,0.1323917031106636,0.19652008533512433,0.23396760087310628,0.47234258261579243
2026Q1,40,0.2054263084063528,0.5064091621669767,0.16484154607228083,0.24695656589324785,0.46884002540387515,0.5733335885384496
2026Q2,29,0.19258645936625393,0.33518220862569326,0.15580129994503195,0.2326378267436855,0.33518220862569303,0.3351822086256933
