quarter,volume,n_sample,n_lc,sem_pairwise_cosine,sem_centroid_variance,sem_eff_dim,lc_sem_pairwise_cosine,lc_sem_centroid_variance,lc_sem_eff_dim,sem_pairwise_cosine_lo,sem_pairwise_cosine_hi,lc_sem_pairwise_cosine_lo,lc_sem_pairwise_cosine_hi
2012Q2,327,327,236,0.10115318373743244,0.8960980492403579,69.42565133268228,0.11088455129826096,0.8853480103597825,64.64119547884493,0.09365110262077785,0.10851555300410509,0.10262412350122933,0.11932855069109813
2012Q3,251,251,158,0.09584803815515763,0.9005497627936677,61.140241125271615,0.09784852345101398,0.896441657077157,53.560636912622634,0.08830269491909823,0.1035716265981566,0.08668038197776277,0.1081660418995351
2012Q4,268,268,153,0.09774433697160258,0.8988890374200825,62.698341461403324,0.10130793301060605,0.8928182626299862,51.67000056423211,0.09017409816152816,0.10506290179413427,0.09225814311185099,0.1104972260130096
2013Q1,312,312,187,0.10390008091898752,0.8932278039557529,66.4223338645568,0.11070140598194528,0.8845429865634127,57.82874372679153,0.09525086616235821,0.1123820613917295,0.1003706198308958,0.1217138233998046
2013Q2,436,436,286,0.09624346572421655,0.901683698187995,69.70097335649382,0.10439884669975688,0.8924696807362562,61.684989789892654,0.09085728886568169,0.10151630042198974,0.09730059219563571,0.11203153922076192
2013Q3,383,383,246,0.10102252678256961,0.8966302735484554,69.06496728059702,0.113079362912859,0.8833152686436974,62.909142503158975,0.09464791095668636,0.10787644265668375,0.10515949966165072,0.12178981519918028
2013Q4,491,491,280,0.10186081763961784,0.8963099783229883,71.60619282286287,0.1093924449088771,0.8874268138229403,62.98667268760014,0.09653177735239402,0.10741084888362812,0.10249001393616748,0.1166358842245023
2014Q1,984,800,434,0.10355865537175722,0.8953207929474575,80.9228324144914,0.1065303310102639,0.8914109831164878,70.469356750979,0.09904894324350907,0.10839091126942915,0.10058303017860556,0.11251913505863818
2014Q2,1168,800,441,0.10682846853669711,0.8920550670489737,79.474457169484,0.11328718262221296,0.8847021307170664,71.82496786418632,0.10164504235335736,0.11162312166774856,0.10646976808103059,0.1200302708074595
2014Q3,1401,800,490,0.1000441897554213,0.8988308654817729,77.67042250145529,0.10617574176050615,0.8920001271002296,72.95421950268448,0.0952917193258118,0.10481974760498144,0.09962744524528257,0.11257157146978872
2014Q4,1477,800,458,0.10089519168564541,0.8979809273039616,82.08283066017114,0.106992909684736,0.8910572931748376,74.50838440519452,0.09620946072709975,0.10562953880065873,0.10081626101346645,0.11334414602163068
2015Q1,1741,800,450,0.09840717939179877,0.900465829582441,82.59535186304491,0.1031879837784494,0.8948191006299472,74.44690089522422,0.09394770077633581,0.1030797057881774,0.09671624014982587,0.10949912641220065
2015Q2,1849,800,470,0.09793752774845128,0.9009348941612343,78.66582199053487,0.10467253864618196,0.8934225093083844,71.517511259974,0.09379284234434634,0.10251905356845015,0.09885603831982268,0.11045457616508671
2015Q3,1376,800,502,0.08732179588866523,0.9115373563561956,78.44575383159246,0.0942961666536559,0.9038996424432637,72.01884166750148,0.08290635245823637,0.09206811017054062,0.08852731047898546,0.10001421134775601
2015Q4,1679,800,487,0.0954584579031394,0.9034108651692395,77.22293309398746,0.1018233482137148,0.8963323465464776,71.15923356384758,0.0911821502685732,0.10004739887159271,0.09542357866270153,0.10825117062467648
2016Q1,1519,800,466,0.09836887966094704,0.9005040814386291,80.33724988414986,0.10196911719731538,0.8961037779039664,72.38073456284529,0.09373912258766434,0.1030710780070963,0.09576175770452981,0.10834905824575752
2016Q2,1542,800,470,0.09885961590286149,0.900013958617017,79.25835671395029,0.10483234855229108,0.8932630394233521,71.38508706654035,0.09406021038107008,0.10355313417829194,0.09850870492464602,0.11076348864068104
2016Q3,1737,800,480,0.10255763834584461,0.8963205587020877,81.55116585172632,0.11185198058299033,0.8862977110432242,73.42297148968858,0.09795250140913397,0.1075831638874947,0.10600632464654283,0.11842698978750257
2016Q4,1930,800,512,0.09917550690215032,0.8996984624814773,81.13031654791156,0.10789240245946004,0.8903651998890936,76.10925611919028,0.09439274105059417,0.10394584134164919,0.10154670930524208,0.11459196524556371
2017Q1,2283,800,465,0.09910940737547257,0.8997644793837468,81.73843954298741,0.1047439760461836,0.8933307421818727,75.75641960476382,0.09414601331940006,0.10363475105229503,0.0983981867216335,0.11112902631882379
2017Q2,1851,800,494,0.09858174843289974,0.9002914787526414,83.1304419071062,0.10673067960320456,0.8914610829061137,77.85853012973766,0.09369851636533938,0.10343713057021756,0.10061510163351595,0.11301959416666638
2017Q3,1334,800,517,0.09272055737490013,0.9061453433218185,82.69958611348183,0.10162775707580674,0.8966345790113806,77.72817932087746,0.08809754426196265,0.09729152522334246,0.09617137252799446,0.10790484068904663
2017Q4,1294,800,445,0.0985333580288566,0.9003398086686795,78.98922370627068,0.10367355030333142,0.8943122329557772,73.21657073577988,0.09440305223619577,0.10290637216363989,0.09809838360697784,0.10968197837440263
2018Q1,1544,800,466,0.10592856578796493,0.89295384491927,78.89067792811925,0.11859530405987734,0.8795132695539851,71.11992742499679,0.10077656497985983,0.11059465408720812,0.11211599546860834,0.12561252474581236
2018Q2,1440,800,476,0.09986942505950275,0.8990054117218216,81.15809691646851,0.10355091140994745,0.8945657921854516,74.06861823821838,0.09524373211081999,0.10444959882834402,0.09739183037544182,0.10989612169670435
2018Q3,960,800,479,0.0985768393365296,0.900296381712641,81.08698149617385,0.10168905841122482,0.8964355534017423,74.86859757551557,0.09400004377997016,0.10331554454741493,0.09563314492425573,0.10757518690716296
2018Q4,1017,800,492,0.0965898307194993,0.9022809065689001,80.94291584451443,0.10232759173036304,0.8958478708544548,74.26850992905065,0.09200211969180026,0.10151579660011441,0.09640699622183041,0.10861107447372566
2019Q1,1553,800,533,0.10102913264820496,0.8978471537676053,78.82760216944695,0.11093436750944,0.8873975919042738,74.90244378660928,0.09696347539533919,0.10504423480202772,0.10579850937424548,0.11633153305365714
2019Q2,1601,800,520,0.09932342347375626,0.8995507308055859,79.42492996704382,0.10782553000350108,0.8904587498618903,74.91520271549706,0.09487652292452972,0.10395233497397825,0.1019445348145504,0.11342704466076753
2019Q3,1023,800,520,0.09184051901064626,0.9070242816381171,80.18251925404556,0.09163806505063234,0.906615085074465,77.56121577165605,0.08754413143963775,0.09624746962104747,0.08649408481083631,0.09758619439487108
2019Q4,1192,800,509,0.10073749494625676,0.8981384269224261,79.81916855430227,0.10536719559170646,0.8928751761088667,75.78383195095891,0.0963922982102704,0.1052582222891601,0.1005466611371893,0.11117733854321084
2020Q1,1266,800,525,0.09633911107204392,0.9025313128167961,83.80629589654197,0.1058265638048084,0.892470248697677,77.61192916903651,0.09203253399482064,0.10101052039265648,0.09980805638725311,0.11132441708164253
2020Q2,1548,800,537,0.09682257337799527,0.9020484548387272,82.67034026912104,0.10605988721423287,0.8922754198383076,77.51217429638847,0.09186837898132805,0.1014782183206781,0.10066426659082586,0.11178949837030021
2020Q3,1290,800,560,0.09925399373198061,0.8996200737601844,79.72541260400168,0.10293717147500743,0.8954609306169122,76.01073191246451,0.09479161003594636,0.1037807494964342,0.09752505792089451,0.10842578166892972
2020Q4,986,800,555,0.08586213918839262,0.9129951884855929,76.66560590278227,0.09593030396343484,0.9024407416292921,73.27347004490044,0.08226668026616696,0.08971216947110373,0.09116765762120649,0.10086477554681977
2021Q1,1041,800,553,0.09547386169815729,0.9033954806289655,80.70583448961064,0.10113850547959764,0.8972360668630418,76.82395346825886,0.09096280512597896,0.10002937966570546,0.09547647408272542,0.1075548783698788
2021Q2,1171,800,556,0.10181906935663598,0.8970582044800598,77.15637764438058,0.1106240911074799,0.8877763119340804,73.99288965966937,0.09668454733364786,0.10638027497207078,0.10455717580028463,0.11665048458404505
2021Q3,718,718,505,0.10344729962733847,0.895304019731474,79.05065731354433,0.11003655742864117,0.8882011387246829,77.09515104948387,0.0989989934103422,0.10819172488007812,0.1046482637052126,0.11550321664229757
