quarter,volume,n_sample,n_lc,sem_pairwise_cosine,sem_centroid_variance,sem_eff_dim,lc_sem_pairwise_cosine,lc_sem_centroid_variance,lc_sem_eff_dim,sem_pairwise_cosine_lo,sem_pairwise_cosine_hi,lc_sem_pairwise_cosine_lo,lc_sem_pairwise_cosine_hi
2011Q3,497,497,371,0.15126080972097364,0.8470314655500948,66.33582321498928,0.1596970282665288,0.8380380041546748,62.74136755794128,0.14437100566644287,0.15748513204832404,0.15238207357564404,0.16718400954752602
2011Q4,327,327,258,0.1458069405335229,0.8515808482754481,58.59829282007037,0.1578322160674529,0.8389035677157543,54.896198113439944,0.13839476395595146,0.1538826729462477,0.14974428632314674,0.16618033989621653
2012Q1,373,373,272,0.13928638797829695,0.8584060688259344,66.7829704590812,0.15147910279811838,0.8454013350798159,60.997522511037126,0.13209583619533682,0.14645900675813425,0.14393050336496047,0.15909223964144809
2012Q2,422,422,308,0.14137338663199409,0.8565919531467547,63.29597716390374,0.15790757333371494,0.83935836034594,57.93901460191008,0.1345244076320433,0.1491463406375459,0.14906910506681165,0.1673585550176576
2012Q3,430,430,331,0.13669928793274064,0.8612930359926844,68.94365654019433,0.15126478675483787,0.8461710585223671,65.1892507223858,0.12949899366388798,0.14360299269127663,0.14281759526242704,0.1592386951829863
2012Q4,492,492,346,0.13700018764987315,0.8612457476908786,68.33717385745153,0.1514763423600566,0.8460712771265332,64.45074619006678,0.13094758501962744,0.14350353041822927,0.1439217465913595,0.1595808266537009
2013Q1,499,499,336,0.13012667915291679,0.8681300877391732,69.95905108971556,0.14654552975582708,0.8509144271779701,65.05031429309133,0.1235982045653648,0.1369271798600431,0.13834387695799963,0.1545711806802909
2013Q2,501,501,369,0.1364571604615953,0.8618192011361324,71.08657390928938,0.14903684704669243,0.8486570197474721,65.7845968141438,0.13050692487124493,0.14220498228986223,0.14162505615414236,0.1567792763285492
2013Q3,794,794,602,0.13296688888133443,0.8659411298704053,77.59153024082869,0.1439576867350037,0.8546203160668817,74.32107414657683,0.1279288869409449,0.13887335998977324,0.1382932162543693,0.1496356174613364
2013Q4,888,800,568,0.1335949267663766,0.8653220668920814,77.83128710952809,0.1460377340814192,0.8524588112250622,73.54328745336417,0.12829974679386336,0.1389506616375462,0.14017948688408893,0.15208830983440222
2014Q1,730,730,523,0.1297018166236801,0.8691059940840236,73.57734514936925,0.14426057047637514,0.8541032164652623,69.26544263028428,0.12481882875051853,0.13479022628932927,0.13856793433448467,0.15010281369456846
2014Q2,667,667,473,0.132538754414678,0.8661607039877428,74.29510879084224,0.1444790146430293,0.8537122729143556,69.43616785465404,0.12693210437497646,0.13802038490535531,0.13788599307430377,0.15179130160638957
2014Q3,661,661,475,0.12988053450851625,0.8688030971624497,74.70403147184123,0.14972690922870419,0.8484830421591457,68.39273269764475,0.12429599563037176,0.1351107044192113,0.14326724010094793,0.15650251152247444
2014Q4,670,670,440,0.12405719736713244,0.8746354253155051,76.03639407921747,0.1424864911371198,0.8555646145245555,69.39951958973745,0.11892435785737325,0.1298970648764771,0.13618623070693228,0.14888244470389211
2015Q1,683,683,455,0.13000545546297018,0.8687207604308262,75.62622686146815,0.1480573111504324,0.8500702873356125,69.75264730928717,0.12436354802202076,0.13567272207708658,0.141155621608158,0.1548158202975928
2015Q2,797,797,535,0.13382534677940222,0.8650878594273473,77.64708229974357,0.1519040159001735,0.8465107579613221,72.25642270181952,0.12844780115826385,0.13906826672637093,0.1454214759312349,0.15851862053410748
2015Q3,837,800,562,0.12718117262188774,0.8717278038438896,76.5134903701843,0.1450959895858856,0.853382828900922,71.42233376583927,0.1222207549340351,0.13239144823396162,0.13922386215583976,0.15149279708766236
2015Q4,871,800,538,0.13191255891903514,0.8670023317796136,74.71551694461564,0.14993484181566277,0.8484851114219127,70.88403521654676,0.12712929383834437,0.1367719085381816,0.14434860342338024,0.15580665375736602
2016Q1,1064,800,504,0.13037792256864988,0.868535049834561,76.95985711311435,0.1449320274789428,0.8533714090835154,72.76578238200158,0.12506380793955912,0.13574225686721544,0.1381260457499323,0.15122401265158517
